Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017Jul,82078,27.841,7090,2.405,2825,0.958,0,0,0,91994,2.542,0,0,0,31.205,89168,2.644,30.246,3.623,2.671,0,-,0,2825,-0.705,0.958,0,0,2.207,0.708,1214,0.412,-0.693,-0.418,DK,0
2017Jun,81174,27.534,7090,2.405,2516,0.853,0,0,0,90780,2.57,0,0,0,30.793,88264,2.663,29.939,3.623,2.693,0,-,0,2516,-0.706,0.853,2241,0.76,2.207,0.708,2358,0.8,-0.693,-0.418,DK,0
2017May,80000,27.136,7091,2.405,3573,1.212,0,0,0,90663,2.647,0,0,0,30.753,87091,2.701,29.542,3.623,2.719,0,-,0,3573,-0.712,1.212,7,0.002,2.236,0.898,1871,0.635,-0.624,-0.436,DK,0
2017Apr,78568,26.651,7091,2.405,3140,1.065,0,0,0,88799,2.616,0,0,0,30.121,85659,2.737,29.056,3.623,2.732,0,-,0,3140,-0.698,1.065,3,0.001,2.236,0.73,962,0.326,-0.624,-0.45,DK,0
2017Mar,77837,26.403,7091,2.405,2911,0.988,0,0,0,87840,2.637,0,0,0,29.796,84928,2.752,28.808,3.623,2.756,0,-,0,2911,-0.698,0.988,6453,2.189,2.236,0.73,2576,0.874,-0.624,-0.45,DK,0
2017Feb,77035,26.13,9931,3.369,4751,1.612,0,0,1729,91716,2.722,0,0,0.587,31.111,86965,2.771,29.499,3.623,2.791,0,-,0,4751,-0.692,1.612,0,0,2.421,0.974,1375,0.467,-0.573,-0.401,DK,0
2017Jan,75937,25.758,9869,3.348,4535,1.538,0,0,1697,90341,2.563,0,0,0.576,30.644,85806,2.734,29.106,2.857,2.83,0,-,0,4535,-0.684,1.538,2348,0.797,2.469,0.828,1431,0.485,-0.573,-0.401,DK,0
2016Dec,77144,27.249,9964,3.519,4151,1.466,0,0,1746,91259,2.648,0,0,0.617,32.234,87108,2.807,30.768,2.843,2.937,0,-,0,4151,-0.683,1.466,5107,1.804,2.469,0.828,1715,0.606,-0.573,-0.573,DK,0
2016Nov,78294,27.655,9945,3.513,6411,2.265,0,0,1729,94651,2.674,0,0,0.611,33.433,88240,2.789,31.168,2.848,2.896,0,-,0,6411,-0.682,2.265,7298,2.578,2.47,1.074,2439,0.861,-0.565,-0.565,DK,0
2016Oct,84783,29.947,10028,3.542,4699,1.66,0,0,1666,99510,2.631,0,0,0.589,35.149,94811,2.803,33.489,2.867,2.906,0,-,0,4699,-0.579,1.66,10,0.004,1.819,-0.028,1286,0.454,-0.565,-0.565,DK,0
2016Sep,84073,29.696,9970,3.522,4191,1.481,0,0,1646,98234,2.67,0,0,0.581,34.698,94043,2.814,33.218,2.226,2.953,0,-,0,4191,-0.572,1.481,2669,0.943,3.748,1.705,1820,0.643,-0.565,-0.46,DK,0
2016Aug,83545,29.51,9980,3.525,5559,1.964,0,0,1637,99084,2.722,0,0,0.578,34.998,93525,2.826,33.035,2.227,2.953,0,-,0,5559,-0.539,1.964,24,0.009,3.183,1.941,1616,0.571,-0.529,-0.41,DK,0
2016Jul,82588,29.172,10004,3.533,4901,1.731,0,0,1651,97493,2.681,0,0,0.583,34.436,92592,2.848,32.705,2.224,2.959,0,-,0,4901,-0.487,1.731,294,0.104,3.183,1.89,807,0.285,-0.529,-0.41,DK,0
2016Jun,82114,29.004,10296,3.637,4570,1.614,0,0,1651,96980,2.699,0,0,0.583,34.255,92410,2.857,32.641,2.224,2.965,0,-,0,4570,-0.486,1.614,2357,0.833,3.182,1.873,4697,1.659,-0.529,-0.41,DK,0
2016May,80559,28.455,10299,3.638,3782,1.336,0,0,1651,94640,2.835,0,0,0.583,33.429,90858,2.886,32.093,2.253,2.974,0,-,0,3782,-0.442,1.336,9,0.003,3.182,2.135,217,0.077,-0.421,-0.262,DK,0
2016Apr,80457,28.419,10198,3.602,3777,1.334,0,0,1594,94432,2.749,0,0,0.563,33.355,90655,2.888,32.021,2.265,2.974,0,-,0,3777,-0.597,1.334,1256,0.443,3.182,1.916,1846,0.652,-0.348,-0.23,DK,0
2016Mar,79289,28.007,11422,4.035,3130,1.106,30,0,2811,93841,2.791,0.011,0,0.993,33.147,90711,2.911,32.041,2.263,2.982,0,0.456,0,3130,-0.627,1.106,5489,1.939,3.398,1.981,5366,1.895,-0.278,-0.195,DK,0
2016Feb,79482,28.075,10285,3.633,4198,1.483,1280,0,2939,93965,2.772,0.452,0,1.038,33.19,89767,2.925,31.707,2.463,3,0,0.456,0,4198,-0.476,1.483,1,0,3.528,2.414,564,0.199,-0.121,-0.087,DK,0
2016Jan,79065,27.927,10275,3.629,4062,1.435,1280,0,2939,93402,2.787,0.452,0,1.038,32.991,89340,2.936,31.557,2.463,3.019,0,0.456,0,4062,-0.476,1.435,122,0.043,3.528,2.372,0,0,-0.091,-0.072,DK,0
2015Dec,79168,28.997,10289,3.769,4067,1.49,1280,0,2939,93524,2.787,0.469,0,1.077,34.256,89457,2.936,32.766,2.463,3.019,0,0.456,0,4067,-0.476,1.49,1896,0.694,3.528,2.318,1572,0.576,-0.05,-0.049,DK,0
2015Nov,79113,28.977,10583,3.876,4150,1.52,1280,0,3023,93847,2.833,0.469,0,1.107,34.374,89697,2.938,32.854,2.463,3.018,0,0.456,0,4150,-0.457,1.52,8691,3.183,3.528,2.528,3619,1.326,0.027,0.01,DK,0
2015Oct,84541,30.965,11129,4.076,3249,1.19,1250,0,2913,98919,2.882,0.458,0,1.067,36.232,95670,3.008,35.042,2.472,3.036,0,-,0,3249,-0.518,1.19,5351,1.96,1.201,0.368,4336,1.588,0.032,0.015,DK,0
2015Sep,83271,30.5,15644,5.73,1019,0.373,4030,0,2861,99933,3.081,1.476,0,1.048,36.603,98915,3.12,36.23,3.367,3.054,0,3.649,0,1019,-0.602,0.373,715,0.262,2.238,1.257,137,0.05,0.033,0.033,DK,0
2015Aug,83272,30.501,13205,4.837,1446,0.53,2780,0,2861,97922,3.13,1.018,0,1.048,35.867,96477,3.168,35.337,3.547,3.063,0,3.649,0,1446,-0.606,0.53,1249,0.457,2.243,1.304,242,0.089,0.036,0.036,DK,0
2015Jul,83610,30.624,13987,5.123,1332,0.488,2780,0,2913,98929,3.129,1.018,0,1.067,36.236,97597,3.18,35.747,3.587,3.07,0,3.649,0,1332,-0.619,0.488,795,0.291,2.243,1.091,1140,0.418,0.039,0.039,DK,0
2015Jun,83961,30.753,13686,5.013,937,0.343,2780,0,3260,98584,3.161,1.018,0,1.194,36.109,97647,3.183,35.766,3.59,3.074,0,3.649,0,937,-0.636,0.343,3686,1.35,2.243,1.063,350,0.128,0.041,0.041,DK,0
2015May,83984,30.762,14991,5.491,2946,1.079,2780,0,3231,101921,3.176,1.018,0,1.183,37.331,98975,3.198,36.252,3.663,3.074,0,3.649,0,2946,-0.483,1.079,1908,0.699,2.243,1.092,1065,0.39,-0.57,-0.57,DK,0
2015Apr,83497,30.583,16521,6.051,2745,1.006,2780,0,4687,102763,3.121,1.018,0,1.717,37.64,100018,3.204,36.634,3.667,3.083,0,3.649,0,2745,-0.06,1.006,423,0.155,2.585,0.906,633,0.232,-0.575,-0.267,DK,0
2015Mar,84736,31.037,15347,5.621,2470,0.905,2780,0,4742,102553,3.094,1.018,0,1.737,37.563,100083,3.161,36.658,3.369,3.083,0,3.649,0,2470,-0.041,0.905,2803,1.027,2.586,0.897,428,0.157,-0.561,-0.261,DK,0
2015Feb,85878,31.455,14054,5.148,4996,1.83,2780,0,4771,104928,3.096,1.018,0,1.748,38.433,99932,3.165,36.603,3.617,3.083,0,3.649,0,4996,-0.037,1.83,911,0.334,2.586,0.894,581,0.213,-0.479,0.063,DK,0
2015Jan,86298,31.609,14085,5.159,4875,1.786,2780,0,4915,105258,3.104,1.018,0,1.8,38.554,100383,3.167,36.768,3.694,3.083,0,3.649,0,4875,-0.028,1.786,244,0.089,2.769,1.073,2006,0.735,-0.488,0.064,DK,0
2014Dec,85148,32.04,13968,5.256,4381,1.648,2830,0,4425,103496,3.126,1.065,0,1.665,38.944,99115,3.183,37.296,3.716,3.094,0,3.649,0,4381,-0.022,1.648,2200,0.828,2.774,1.084,2512,0.945,-0.503,0.064,DK,0
2014Nov,84724,31.88,13936,5.244,4524,1.702,2780,0,4143,103185,3.192,1.046,0,1.559,38.827,98661,3.194,37.124,3.727,3.106,0,3.649,0,4524,0.203,1.702,7518,2.829,2.774,1.175,3096,1.165,-0.728,0.091,DK,0
2014Oct,94011,35.375,10054,3.783,3278,1.234,2750,0,3910,107343,3.139,1.035,0,1.471,40.391,104065,3.207,39.158,3.729,3.113,0,-,0,3278,0.005,1.234,981,0.369,3.173,0.507,1122,0.422,-0.73,0.088,DK,0
2014Sep,95028,35.758,8972,3.376,3201,1.205,2750,0,4021,107202,3.112,1.035,0,1.513,40.338,104000,3.176,39.134,2.209,3.252,0,-,0,3201,0.011,1.205,2807,1.056,4.534,2.053,3142,1.182,-0.712,0.088,DK,0
2014Aug,93608,35.223,9043,3.403,4215,1.586,2815,0,3823,106867,3.147,1.059,0,1.438,40.212,102652,3.194,38.626,2.302,3.278,0,-,0,4215,0.02,1.586,826,0.311,4.534,2.319,1963,0.738,-0.585,0.083,DK,0
2014Jul,92495,34.804,9013,3.391,4223,1.589,2825,0,3773,105730,3.078,1.063,0,1.42,39.785,101508,3.204,38.196,2.305,3.301,0,-,0,4223,-0.117,1.589,403,0.152,4.534,2.109,2822,1.062,-0.576,0.082,DK,0
2014Jun,91696,34.504,8985,3.381,2631,0.99,2925,0,3756,103311,3.133,1.101,0,1.413,38.874,100681,3.215,37.885,2.311,3.314,0,-,0,2631,-0.444,0.99,4248,1.598,4.534,2.193,3091,1.163,-0.557,0.083,DK,0
2014May,90383,34.01,9208,3.465,4877,1.835,3075,0,3453,104468,3.206,1.157,0,1.299,39.31,99591,3.235,37.475,2.315,3.355,0,-,0,4877,-0.055,1.835,754,0.284,4.534,2.612,1790,0.674,0.053,0.482,DK,0
2014Apr,90268,33.966,8249,3.104,4916,1.85,3060,0,3526,103432,3.099,1.151,0,1.327,38.92,98516,3.24,37.07,2.329,3.364,0,-,0,4916,0.009,1.85,412,0.155,4.534,2.241,1844,0.694,0.056,0.349,DK,0
2014Mar,88964,33.476,8249,3.104,4787,1.801,3125,0,3479,101999,3.122,1.176,0,1.309,38.381,97213,3.263,36.58,2.586,3.404,0,-,0,4787,0.008,1.801,6817,2.565,4.534,2.278,6423,2.417,0.051,0.377,DK,0
2014Feb,85204,32.061,11507,4.33,5682,2.138,5700,0,2482,102393,3.262,2.145,0,0.934,38.529,96711,3.336,36.391,2.586,3.433,0,-,0,5682,0.032,2.138,484,0.182,5.102,2.612,1596,0.601,0.089,0.188,DK,0
2014Jan,83937,31.584,11571,4.354,5774,2.173,5647,0,2527,101282,3.16,2.125,0,0.951,38.111,95508,3.349,35.938,2.753,3.457,0,-,0,5774,-0.049,2.173,216,0.081,5.114,2.634,1404,0.528,0.087,0.189,DK,0
2013Dec,83219,32.163,11571,4.472,5303,2.05,5600,0,2498,100093,3.182,2.164,0,0.965,38.685,94790,3.355,36.635,2.758,3.467,0,-,0,5303,-0.056,2.05,3078,1.189,3.994,2.38,2224,0.859,0.084,0.194,DK,0
2013Nov,82973,32.068,11578,4.475,6396,2.472,5550,0,2597,100947,3.241,2.145,0,1.004,39.014,94551,3.36,36.543,2.757,3.474,0,-,0,6396,-0.058,2.472,8134,3.144,3.994,2.403,1897,0.733,-0.003,0.116,DK,0
2013Oct,90251,34.881,11128,4.301,5806,2.244,5550,0,2636,107185,3.297,2.145,0,1.019,41.425,101379,3.394,39.181,2.758,3.535,0,-,0,5806,-0.047,2.244,503,0.194,0.978,0.176,2292,0.886,-0.006,0.119,DK,0
2013Sep,89080,34.428,11285,4.362,5030,1.944,5550,0,2659,105396,3.482,2.145,0,1.027,40.734,100365,3.554,38.79,4.531,3.583,0,-,0,5030,-0.035,1.944,2830,1.094,2.13,0.889,2896,1.119,-0.011,0.121,DK,0
2013Aug,88656,34.264,11283,4.361,5391,2.084,5550,0,2845,105329,3.359,2.145,0,1.1,40.708,99938,3.404,38.625,3.775,3.628,0,-,0,5391,-0.064,2.084,364,0.141,2.13,1.042,1574,0.608,-0.105,0.4,DK,0
2013Jul,88372,34.154,11418,4.413,4329,1.673,5550,0,2835,104119,3.313,2.145,0,1.096,40.241,99790,3.41,38.567,3.791,3.634,0,-,0,4329,-0.199,1.673,287,0.111,2.13,0.918,1212,0.468,-0.118,0.408,DK,0
2013Jun,87995,34.009,11411,4.41,3788,1.464,5550,0,2875,103195,3.326,2.145,0,1.111,39.883,99406,3.412,38.419,3.789,3.637,0,-,0,3788,-0.214,1.464,3617,1.398,2.13,0.925,1668,0.645,-0.146,0.425,DK,0
2013May,87765,33.92,11935,4.613,5443,2.104,5550,0,2919,105143,3.364,2.145,0,1.128,40.636,99700,3.425,38.532,3.847,3.636,0,-,0,5443,-0.2,2.104,192,0.074,2.13,1.148,3426,1.324,-0.178,0.456,DK,0
2013Apr,85135,32.903,12055,4.659,4720,1.824,5550,0,2769,101909,3.321,2.145,0,1.07,39.386,97190,3.481,37.562,3.86,3.744,0,-,0,4720,-0.302,1.824,387,0.15,2.13,1.107,1336,0.516,-0.212,0.428,DK,0
2013Mar,84046,32.483,12213,4.72,4701,1.817,5550,0,1723,100961,3.522,2.145,0,0.666,39.02,96259,3.692,37.203,4.582,3.744,0,-,0,4701,-0.301,1.817,4857,1.877,2.172,1.234,4100,1.585,-0.212,0.424,DK,0
2013Feb,85059,32.874,9082,3.51,7577,2.928,5600,0,1637,101718,3.619,2.164,0,0.633,39.312,94141,3.736,36.384,4.591,3.815,0,-,0,7577,-0.323,2.928,2940,1.136,2.172,1.221,1570,0.607,-0.296,0.435,DK,0
2013Jan,84092,32.5,11884,4.593,7112,2.749,5550,0,4317,103088,3.646,2.145,0,1.668,39.842,95977,3.76,37.093,5.103,3.861,0,-,0,7112,-0.322,2.749,405,0.156,2.465,1.337,1672,0.646,-0.296,0.435,DK,0
2012Dec,83663,32.864,11971,4.702,6186,2.43,5550,0,4558,101821,3.593,2.18,0,1.79,39.996,95634,3.685,37.566,4.093,3.884,0,-,0,6186,-0.304,2.43,4818,1.893,2.465,1.341,2447,0.961,-0.296,0.435,DK,0
2012Nov,83379,32.752,12026,4.724,8786,3.451,5550,0,4910,104192,3.667,2.18,0,1.929,40.927,95405,3.695,37.476,4.082,3.918,0,-,0,8786,-0.292,3.451,6270,2.463,2.465,1.537,2566,1.008,-0.356,0.577,DK,0
2012Oct,91715,36.026,8080,3.174,8102,3.182,5550,0,4850,107896,3.508,2.18,0,1.905,42.382,99794,3.698,39.2,4.082,3.916,0,-,0,8102,0.076,3.182,212,0.083,2.14,1.208,2886,1.134,-0.356,0.577,DK,0
2012Sep,91001,35.746,8103,3.183,6118,2.403,5580,0,4849,105222,3.522,2.192,0,1.905,41.332,99104,3.657,38.929,2.107,3.876,0,-,0,6118,0.137,2.403,4355,1.711,3.744,2.221,2755,1.082,-0.356,0.577,DK,0
2012Aug,89952,35.334,8182,3.214,8688,3.413,5580,0,5083,106822,3.583,2.192,0,1.997,41.96,98134,3.682,38.548,2.098,3.931,0,-,0,8688,0.222,3.413,619,0.243,3.744,2.471,1948,0.765,-,0.364,DK,0
2012Jul,89993,35.35,8264,3.246,7236,2.842,5700,0,4933,105493,3.503,2.239,0,1.938,41.438,98257,3.691,38.596,2.088,3.95,0,-,0,7236,0.302,2.842,647,0.254,3.744,2.337,4851,1.906,-,0.364,DK,0
2012Jun,88533,34.776,8164,3.207,4591,1.803,5550,0,4978,101289,3.603,2.18,0,1.955,39.787,96698,3.714,37.983,2.102,3.972,0,-,0,4591,0.295,1.803,4558,1.79,3.744,2.332,3133,1.231,-,0.364,DK,0
2012May,87659,34.433,8245,3.239,6808,2.674,5550,0,4972,102713,3.614,2.18,0,1.953,40.346,95905,3.701,37.672,2.092,3.991,0,-,0,6808,0.279,2.674,3156,1.24,3.744,2.53,4931,1.937,1.444,0.665,DK,0
2012Apr,84471,33.181,10699,4.203,5767,2.265,5550,0,6110,100938,3.632,2.18,0,2.4,39.649,95170,3.795,37.384,2.118,4.074,0,-,0,5767,0.781,2.265,2622,1.03,4.074,2.405,3723,1.462,1.444,1.153,DK,0
2012Mar,83144,32.659,13018,5.113,3676,1.444,5550,0,6124,99837,3.665,2.18,0,2.406,39.217,96161,3.756,37.773,2.277,4.094,0,-,0,3676,0.841,1.444,7148,2.808,4.074,2.419,2446,0.961,1.444,0.882,DK,0
2012Feb,81642,32.07,15462,6.074,7435,2.921,5550,0,8195,104539,3.678,2.18,0,3.219,41.064,97104,3.755,38.143,2.284,4.108,0,-,0,7435,0.833,2.921,715,0.281,4.585,2.711,1413,0.555,1.444,0.479,DK,0
2012Jan,84064,33.021,12756,5.011,7021,2.758,5550,0,8118,103840,3.556,2.18,0,3.189,40.789,96820,3.722,38.031,2.237,4.123,0,-,0,7021,1.208,2.758,712,0.28,4.585,2.509,3230,1.269,-,-,DK,0
2011Dec,82883,33.437,13097,5.284,5342,2.155,5630,0,8115,101322,3.601,2.271,0,3.274,40.876,95980,3.726,38.72,2.535,4.148,0,-,0,5342,1.278,2.155,4188,1.69,4.585,2.518,1448,0.584,-,-,DK,0
2011Nov,82637,33.337,13300,5.365,8126,3.278,5692,0,7955,104063,3.618,2.296,0,3.209,41.981,95937,3.73,38.703,2.546,4.153,0,-,0,8126,1.285,3.278,10150,4.095,4.585,2.729,3519,1.42,-,-,DK,0
2011Oct,89181,35.978,14033,5.661,7479,3.017,6947,0,10547,110694,3.578,2.802,0,4.255,44.656,103215,3.754,41.639,2.555,4.158,0,-,0,7479,1.271,3.017,582,0.235,3.762,0.661,5245,2.116,-,-,DK,0
2011Sep,86987,35.092,14193,5.726,4851,1.957,7025,0,10728,106030,3.742,2.834,0,4.328,42.775,101180,3.85,40.818,3.752,4.115,0,-,0,4851,1.309,1.957,3688,1.488,3.892,1.711,3526,1.423,-,-,DK,0
2011Aug,84971,34.279,13788,5.563,7432,2.998,6985,0,9160,106192,3.476,2.818,0,3.695,42.84,98754,3.576,39.84,3.798,3.764,5,-,0.002,7432,1.351,2.998,1194,0.482,3.704,2.074,2826,1.14,-,-,DK,0
2011Jul,85070,34.319,13772,5.556,5718,2.307,6919,0,9320,104560,3.47,2.791,0,3.76,42.182,98837,3.596,39.873,3.783,3.771,5,4.919,0.002,5718,1.145,2.307,1300,0.525,3.687,2,4326,1.745,-,-,DK,0
2011Jun,84212,33.973,13864,5.593,3459,1.395,7009,0,9174,101535,3.576,2.828,0,3.701,40.961,98071,3.652,39.564,3.823,3.825,5,4.919,0.002,3459,1.14,1.395,3357,1.354,3.687,2.003,2719,1.097,-,-,DK,0
2011May,83560,33.71,13914,5.613,4698,1.895,7060,0,9115,102172,3.649,2.848,0,3.677,41.219,97469,3.707,39.321,3.818,3.849,5,4.919,0.002,4698,0.982,1.895,1478,0.596,3.687,2.297,1985,0.801,-,-,DK,0
2011Apr,86481,34.888,11405,4.601,3778,1.524,8185,0,8848,101665,3.588,3.302,0,3.569,41.014,97882,3.693,39.488,3.847,3.915,5,4.919,0.002,3778,0.694,1.524,671,0.271,3.687,2.316,3402,1.372,-,-,DK,0
2011Mar,84687,34.165,11614,4.685,2634,1.063,8114,0,9349,98935,3.681,3.273,0,3.771,39.913,96296,3.754,38.848,4.138,3.983,5,4.919,0.002,2634,0.673,1.063,2451,0.989,3.688,2.348,3670,1.481,-,-,DK,0
2011Feb,83772,33.795,9579,3.864,4365,1.761,5664,0,9613,97716,3.805,2.285,0,3.878,39.421,93346,3.882,37.658,4.116,4.064,5,4.919,0.002,4365,0.684,1.761,533,0.215,3.688,2.708,2880,1.162,-,-,DK,0
2011Jan,81308,32.802,9682,3.906,4378,1.766,5610,0,7824,95368,3.838,2.263,0,3.156,38.474,90985,3.985,36.705,4.615,4.136,5,4.919,0.002,4378,0.6,1.766,421,0.17,3.688,2.741,4194,1.692,-,-,DK,0
2010Dec,78826,32.417,9814,4.036,2955,1.215,5560,0,8083,91596,3.945,2.287,0,3.324,37.668,88635,4.048,36.451,4.613,4.314,6,4.919,0.002,2955,0.522,1.215,1898,0.781,-,-,1386,0.57,-,-,DK,0
2010Nov,78402,32.242,9986,4.107,3719,1.529,5655,0,8284,92107,3.965,2.326,0,3.407,37.878,88383,4.043,36.347,4.606,4.317,6,4.919,0.002,3719,0.522,1.529,4780,1.966,-,-,1510,0.621,-,-,DK,0
2010Oct,87528,35.995,4528,1.862,3322,1.366,5645,0,7719,95377,4.01,2.321,0,3.174,39.223,92050,4.056,37.855,4.661,4.319,5,4.919,0.002,3322,0.926,1.366,3207,1.319,-,-,3887,1.599,-,-,DK,0
2010Sep,85631,35.215,6858,2.82,2208,0.908,5750,0,8062,94697,4.081,2.365,0,3.316,38.943,92484,4.118,38.033,3.892,4.345,5,4.919,0.002,2208,0.926,0.908,2163,0.89,-,-,633,0.26,-,-,DK,0
2010Aug,85964,35.352,7060,2.903,3204,1.318,5750,0,8528,96227,4.058,2.365,0,3.507,39.573,93004,4.093,38.247,3.741,4.35,6,5.893,0.002,3217,0.91,1.323,537,0.221,-,-,2178,0.896,-,-,DK,0
2010Jul,84440,34.725,7201,2.962,2945,1.211,5750,0,8229,94587,4.023,2.365,0,3.384,38.898,91623,4.089,37.679,3.715,4.351,5,5.893,0.002,2959,0.889,1.217,825,0.339,-,-,2788,1.146,-,-,DK,0
2010Jun,83177,34.206,7211,2.965,2235,0.919,5750,0,8934,92623,4.029,2.365,0,3.674,38.091,90369,4.074,37.164,3.715,4.352,6,5.893,0.002,2249,0.865,0.925,341,0.14,-,-,1162,0.478,-,-,DK,0
2010May,82535,33.942,7353,3.024,1914,0.787,5750,0,8812,91803,-,2.365,0,3.624,37.753,89870,-,36.958,-,-,5,-,0.002,1928,-,0.793,773,0.318,-,-,4258,1.751,-,-,DK,0
2010Apr,79300,32.612,7952,3.27,1065,0.438,5750,0,8044,88317,-,2.365,0,3.308,36.32,87234,-,35.874,-,-,5,-,0.002,1078,-,0.443,1713,0.704,-,-,1939,0.797,-,-,DK,0
2010Mar,77809,31.999,9428,3.877,854,0.351,5765,0,9496,88091,-,2.371,0,3.905,36.227,87220,-,35.868,-,-,5,-,0.002,867,-,0.357,1286,0.529,-,-,2647,1.089,-,-,DK,0
2010Feb,75860,31.197,10542,4.335,329,0.135,5765,0,9382,86731,-,2.371,0,3.858,35.667,86383,-,35.525,-,-,5,-,0.002,342,-,0.141,98,0.04,-,-,2506,1.031,-,-,DK,0
2010Jan,73561,30.252,10508,4.322,254,0.104,5750,0,9101,84323,-,2.365,0,3.743,34.677,84051,-,34.566,-,-,5,-,0.002,267,-,0.11,2179,0.896,-,-,537,0.221,-,-,DK,0
2009Dec,75233,32.529,10475,4.529,258,0.111,5750,0,8949,85965,-,2.486,0,3.869,37.17,85690,-,37.051,-,-,5,-,0.002,271,-,0.117,143,0.062,-,-,4604,1.99,-,-,DK,0
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DK,0