Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.LL._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.LL._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.LS._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.LS._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.S._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.S._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.EUR.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.GBP.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.EUR.USD.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.EUR.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.GBP.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY.USD.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3A.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3A.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3A.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3A.TS._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3A.TY5_._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3B.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3B.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3B.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3C.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3C.T._Z.RT._T.F.V.A1._T,GFS.M.N.GR.W0.S13.S1.N.L.LE.F3C.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.LD.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.LD.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.LD.LX.F3.L._Z.RT._T.F.V.A12._T,GFS.M.N.GR.W0.S13.S1.N.LD.LX.F3.T._Z.RT._T.F.V.A12._T,GFS.M.N.GR.W0.S13.S1.N.LI.F.F3.T._Z.EUR._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.LI.F.F3.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T,GFS.M.N.GR.W0.S13.S1.N.LI.LX.F3.S._Z.RT._T.F.V.A12._T,GFS.M.N.GR.W0.S13.S1.N.LI.LX.F3.T._Z.RT._T.F.V.A12._T,,
,"Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with long-term residual maturity (over 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year) with short-term residual maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, Euro, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, UK pound sterling, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, US dollar, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with short-term residual maturity (up to 1 year), Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, fixed rate issues, All original maturities with residual maturity over 5 years, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, floating rate issues (e.g. variable interest), All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Euro, All currencies, Non transformed data","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Interest rate, All currencies, Average, period on period","Liabilities (Net Incurrence of), Closing balance sheet/Positions/Stocks, Debt securities, zero coupon bonds, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross decrease in liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Long-term original maturity (over 1 year or no stated maturity), Interest rate, All currencies, 12-period moving average","Gross decrease in liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Euro, All currencies, Non transformed data","Gross incurrence of liabilities, Transactions in financial assets and liabilities, Debt securities, All original maturities, Domestic currency (incl. conversion to current currency made using a fixed parity); ratio to the annual moving sum of gross domestic product, All currencies, Non transformed data","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, Short-term original maturity (up to 1 year), Interest rate, All currencies, 12-period moving average","Gross incurrence of liabilities, Changes in balance sheet/Positions/Stocks, Debt securities, All original maturities, Interest rate, All currencies, 12-period moving average",,
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),End of period (E),Average of observations through period (A),End of period (E),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),Summed through period (S),Summed through period (S),Average of observations through period (A),Average of observations through period (A),,
Period\Unit:,[Millions],,[Millions],,[Millions],,[Millions],[Millions],[Millions],[Millions],,,,,,[Millions],,,,,[Millions],,,[Millions],,,[Millions],,,,[Millions],,,,COUNTRY,EUROZONE
2021Mar,73789,44.497,509,0.307,12201,7.357,86499,0,0,86499,2.783,52.161,0,0,52.161,72460,3.266,43.696,2.265,2.984,1838,1.781,1.108,12201,-0.178,7.357,600,0.362,6.25,0.549,3500,2.111,-0.027,0.469,GR,1
2021Feb,71289,42.99,509,0.307,11801,7.116,83599,0,0,83599,2.846,50.412,0,0,50.413,69960,3.313,42.188,2.265,3.035,1838,1.8,1.108,11801,-0.173,7.116,2000,1.206,6.25,0.517,5500,3.317,-0.011,0.368,GR,1
2021Jan,67794,40.882,504,0.304,11801,7.116,80099,0,0,80099,3,48.302,0,0,48.302,66460,3.445,40.077,2.265,3.236,1838,1.8,1.108,11801,-0.115,7.116,3000,1.809,6.25,0.574,4400,2.653,0.012,0.469,GR,1
2020Dec,66394,40.038,504,0.304,11801,7.117,78699,0,0,78699,3.06,47.458,0,0,47.458,65060,3.421,39.233,-,3.221,1838,1.8,1.108,11801,-0.056,7.117,2601,1.568,6.25,0.612,2650,1.598,0.051,0.767,GR,1
2020Nov,65744,39.646,504,0.304,12402,7.479,78650,0,0,78650,3.029,47.428,0,0,47.428,64410,3.428,38.841,-,3.227,1838,1.8,1.108,12402,0.019,7.479,1000,0.603,6.25,0.589,1000,0.603,0.08,0.786,GR,1
2020Oct,65744,39.646,504,0.304,12402,7.479,78650,0,0,78650,2.973,47.428,0,0,47.428,64410,3.428,38.841,-,3.227,1838,1.8,1.108,12402,0.088,7.479,3201,1.931,6.25,0.623,4622,2.787,0.09,0.802,GR,1
2020Sep,63722,38.426,504,0.304,13004,7.842,77229,0,0,77230,3.117,46.572,0,0,46.572,62388,3.477,37.622,-,3.285,1838,1.8,1.108,13004,0.172,7.842,1001,0.603,6.25,0.645,3500,2.111,0.118,0.844,GR,1
2020Aug,61726,37.222,0,0,13004,7.842,74730,0,0,74730,3.007,45.064,0,0,45.064,59888,3.557,36.114,-,3.385,1838,2.068,1.108,13004,0.174,7.842,2000,1.206,6.399,1.107,2000,1.206,0.127,0.826,GR,1
2020Jul,61726,37.222,0,0,13005,7.842,74730,0,0,74731,3.005,45.065,0,0,45.065,59888,3.557,36.114,-,3.385,1838,1.8,1.108,13005,0.204,7.842,2800,1.689,6.399,1.189,3000,1.809,0.136,0.774,GR,1
2020Jun,61726,37.222,0,0,12805,7.721,74530,0,0,74530,3.048,44.944,0,0,44.944,59888,3.557,36.114,-,3.385,1838,1.8,1.108,12805,0.232,7.721,4583,2.764,5.621,1.15,6201,3.74,0.16,0.867,GR,1
2020May,59940,36.146,1366,0.824,11606,6.999,72912,0,0,72912,3.171,43.968,0,0,43.968,59469,3.711,35.861,6.25,3.522,1838,1.8,1.108,11606,0.211,6.999,3700,2.231,5.711,1.539,2601,1.569,0.184,0.823,GR,1
2020Apr,62040,37.412,1366,0.824,10604,6.395,74011,0,0,74011,3.286,44.631,0,0,44.631,61569,3.706,37.128,6.25,3.523,1838,1.8,1.108,10604,0.167,6.395,1601,0.965,5.711,1.517,6515,3.929,0.192,0.832,GR,1
2020Mar,56726,34.207,1366,0.824,11004,6.636,69097,0,0,69097,3.343,41.667,0,0,41.667,56254,3.783,33.923,6.25,3.601,1838,1.8,1.108,11004,0.12,6.636,1005,0.606,5.711,1.53,600,0.362,0.217,0.752,GR,1
2020Feb,56726,34.207,1366,0.824,11409,6.88,69501,0,0,69501,3.291,41.911,0,0,41.911,56254,3.783,33.923,6.25,3.601,1838,1.8,1.108,11409,0.092,6.88,2169,1.308,5.489,1.72,4100,2.472,0.276,0.984,GR,1
2020Jan,54395,32.801,1366,0.824,11809,7.121,67570,0,0,67570,3.396,40.747,0,0,40.747,53923,3.87,32.517,6.25,3.721,1838,1.838,1.108,11809,0.248,7.121,6918,4.171,5.486,1.767,6304,3.801,0.327,1.343,GR,1
2019Dec,54205,29.554,1366,0.745,12613,6.877,68184,0,0,68184,3.351,37.175,0,0,37.175,53734,3.865,29.296,6.25,3.715,1838,1.838,1.002,12613,0.254,6.877,3010,1.641,5.486,1.871,2000,1.09,0.401,1.224,GR,1
2019Nov,54205,29.554,1366,0.745,13623,7.427,69194,0,0,69194,3.277,37.726,0,0,37.726,53734,3.865,29.296,6.25,3.715,1838,1.838,1.002,13623,0.27,7.427,2403,1.31,5.486,1.883,1600,0.872,0.489,1.265,GR,1
2019Oct,54205,29.554,1366,0.745,14426,7.865,69997,0,0,69997,3.19,38.164,0,0,38.164,53734,3.865,29.296,6.25,3.715,1838,1.838,1.002,14426,0.38,7.865,4424,2.412,5.486,1.896,3101,1.691,0.526,1.258,GR,1
2019Sep,52705,28.736,3384,1.845,15231,8.304,71320,0,0,71320,3.149,38.885,0,0,38.885,54251,3.962,29.579,6.399,3.708,1838,1.838,1.002,15231,0.413,8.304,1005,0.548,5.184,1.647,1001,0.546,0.57,1.276,GR,1
2019Aug,52705,28.736,3384,1.845,15236,8.307,71325,0,0,71325,3.19,38.887,0,0,38.887,54251,3.962,29.579,6.399,3.708,1838,1.838,1.002,15236,0.421,8.307,3918,2.136,5.184,1.613,3906,2.129,0.599,1.28,GR,1
2019Jul,52202,28.461,3888,2.12,15248,8.313,71337,0,0,71337,3.184,38.894,0,0,38.894,54251,3.962,29.579,6.399,3.708,1838,1.859,1.002,15248,0.574,8.313,6763,3.687,5.569,1.705,5503,3,0.67,1.344,GR,1
2019Jun,49704,27.099,7640,4.165,15252,8.316,72594,3,0,72596,3.367,39.579,0.001,0,39.581,55506,4.062,30.263,6.399,3.838,1838,1.844,1.002,15252,0.658,8.316,3014,1.643,4.925,1.18,3009,1.64,0.723,1.352,GR,1
2019May,51068,27.843,6274,3.421,15260,8.32,72601,0,0,72601,3.415,39.583,0,0,39.583,55504,4.193,30.261,6.175,3.838,1838,1.844,1.002,15260,0.777,8.32,2410,1.314,4.787,1.414,2404,1.311,0.769,1.373,GR,1
2019Apr,51068,27.843,6274,3.421,15266,8.323,72607,0,0,72607,3.533,39.587,0,0,39.587,55504,4.211,30.261,6.175,3.866,1838,1.844,1.002,15266,0.845,8.323,4868,2.654,4.787,1.48,2407,1.312,0.786,1.38,GR,1
2019Mar,51069,27.843,8730,4.76,15269,8.325,75068,0,0,75068,3.497,40.928,0,0,40.928,57961,4.241,31.601,5.801,3.847,1838,1.844,1.002,15269,0.87,8.325,2471,1.347,4.611,1.281,4946,2.697,0.82,1.407,GR,1
2019Feb,48570,26.481,8748,4.77,15275,8.328,72593,0,0,72593,3.577,39.579,0,0,39.579,55515,4.257,30.268,5.801,3.843,1803,1.873,0.983,15275,0.879,8.328,2014,1.098,4.6,1.334,7824,4.266,0.859,1.263,GR,1
2019Jan,42756,23.311,8748,4.77,15278,8.33,66782,0,0,66782,3.482,36.411,0,0,36.411,49701,4.327,27.098,5.796,3.896,1803,1.873,0.983,15278,0.922,8.33,3012,1.642,4.6,1.444,3010,1.641,0.886,1.092,GR,1
2018Dec,42757,23.79,8748,4.867,15280,8.502,66784,0,0,66784,3.607,37.159,0,0,37.159,49702,4.327,27.654,5.796,3.896,1803,1.863,1.003,15280,0.944,8.502,3021,1.681,4.6,1.551,3014,1.677,0.939,1.14,GR,1
2018Nov,42764,23.794,8748,4.867,15279,8.501,66790,0,0,66790,3.598,37.162,0,0,37.162,49709,4.327,27.658,5.796,3.896,1803,1.863,1.003,15279,0.9,8.501,2412,1.342,4.6,1.703,2411,1.342,1.056,2.268,GR,1
2018Oct,42764,23.794,8748,4.867,15280,8.502,66792,0,0,66792,3.572,37.163,0,0,37.163,49709,4.327,27.658,5.796,3.896,1803,1.863,1.003,15280,0.893,8.502,2400,1.335,4.626,1.871,2410,1.341,1.149,2.311,GR,1
2018Sep,44781,24.916,6730,3.745,15270,8.496,66781,0,0,66781,3.568,37.157,0,0,37.157,49709,4.327,27.658,5.796,3.896,1803,1.863,1.003,15270,0.877,8.496,1000,0.556,4.626,1.98,2011,1.119,1.238,2.361,GR,1
2018Aug,44781,24.916,6730,3.745,14259,7.934,65771,0,0,65771,3.553,36.595,0,0,36.595,49709,4.327,27.658,5.569,3.896,1803,1.863,1.003,14259,0.882,7.934,3835,2.134,4.626,2.06,3429,1.908,1.352,2.385,GR,1
2018Jul,45274,25.191,6262,3.484,14640,8.146,66176,0,0,66176,3.656,36.82,0,0,36.82,49709,4.327,27.658,5.569,3.896,1827,1.832,1.017,14640,0.892,8.146,4870,2.71,4.626,2.254,3008,1.673,1.452,2.548,GR,1
2018Jun,49027,27.278,4380,2.437,14633,8.142,68039,0,0,68039,3.63,37.857,0,0,37.857,51565,4.327,28.691,5.569,3.896,1841,1.829,1.025,14633,0.943,8.142,3616,2.012,4.118,2.26,4106,2.285,1.593,2.626,GR,1
2018May,48951,27.236,4380,2.437,14219,7.911,67533,6,11,67549,3.726,37.575,0.003,0.006,37.584,51581,4.337,28.7,4.787,3.896,1749,1.796,0.973,14219,1.089,7.911,2816,1.567,4.028,2.619,2808,1.562,1.822,2.737,GR,1
2018Apr,48967,27.245,4380,2.437,14211,7.907,67525,17,15,67557,3.738,37.571,0.01,0.008,37.589,51597,4.337,28.709,4.787,3.896,1749,1.796,0.973,14211,1.344,7.907,2428,1.351,4.028,2.702,2400,1.335,1.974,2.822,GR,1
2018Mar,51423,28.612,1923,1.07,14240,7.923,67554,17,15,67586,3.751,37.587,0.01,0.008,37.605,51597,4.337,28.708,4.787,3.896,1749,1.796,0.973,14240,1.496,7.923,4632,2.577,4.028,2.759,4011,2.232,2.088,2.885,GR,1
2018Feb,51476,28.641,1870,1.041,14861,8.268,68175,17,15,68207,3.841,37.932,0.009,0.008,37.95,51597,4.337,28.708,4.611,3.896,1749,1.796,0.973,14861,1.697,8.268,2440,1.358,4.33,2.948,5400,3.005,2.258,2.975,GR,1
2018Jan,48486,26.977,1870,1.041,14890,8.285,65214,17,15,65246,3.822,36.285,0.01,0.008,36.303,48597,4.39,27.039,4.6,3.94,1759,1.808,0.979,14890,1.898,8.285,3031,1.687,4.314,2.987,3012,1.676,2.362,3.014,GR,1
2017Dec,48486,27.37,1870,1.056,14909,8.416,65233,17,15,65266,3.871,36.823,0.01,0.009,36.842,48597,4.39,27.433,4.6,3.922,1759,1.808,0.993,14909,2.057,8.416,31271,17.652,4.313,3.012,31037,17.52,2.468,3.077,GR,1
2017Nov,48578,27.422,1995,1.126,14926,8.426,60267,17,15,65499,3.607,34.02,0.01,0.009,36.974,48814,3.926,27.555,4.6,3.18,1759,1.808,0.993,14926,2.329,8.426,2834,1.6,4.302,3.078,2814,1.589,2.598,2.734,GR,1
2017Oct,48585,27.425,1995,1.126,14939,8.433,57486,17,16,65519,3.572,32.45,0.01,0.009,36.985,48821,3.929,27.559,4.626,3.18,1759,1.808,0.993,14939,2.39,8.433,2428,1.37,4.304,3.088,2430,1.372,2.652,2.784,GR,1
2017Sep,48587,27.427,1995,1.126,14934,8.43,56070,17,15,65516,3.578,31.651,0.01,0.009,36.983,48823,3.929,27.56,4.626,3.18,1759,1.808,0.993,14934,2.454,8.43,4629,2.613,4.308,3.098,4637,2.617,2.694,2.823,GR,1
2017Aug,48587,27.427,1995,1.126,14926,8.425,57663,16,15,65508,3.658,32.55,0.009,0.009,36.979,48823,3.929,27.56,4.626,3.284,1759,1.808,0.993,14926,2.687,8.425,4350,2.456,4.308,3.117,5429,3.065,2.775,2.899,GR,1
2017Jul,47163,26.623,2347,1.325,14920,8.422,55232,17,15,64429,3.158,31.178,0.009,0.009,36.369,47751,3.295,26.955,4.626,2.419,1759,1.808,0.993,14920,2.823,8.422,10432,5.888,4.339,3.101,3031,1.711,2.812,2.812,GR,1
2017Jun,50286,28.386,6632,3.744,14911,8.417,60367,17,16,71830,3.169,34.076,0.01,0.009,40.547,53909,3.299,30.431,4.5,2.419,3009,2.28,1.699,14911,2.87,8.417,5219,2.946,5.187,2.971,5231,2.953,2.831,2.831,GR,1
2017May,50288,28.387,6649,3.753,14880,8.4,62337,17,16,71817,3.263,35.189,0.01,0.009,40.54,53928,3.382,30.442,4.027,2.419,3009,2.28,1.699,14880,2.904,8.4,2862,1.616,4.422,3.02,4076,2.301,2.831,2.831,GR,1
