Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017Jun,59254,46.697,7007,5.522,15188,11.969,6343,0,12030,81448,4.106,4.999,0,9.48,64.187,64421,4.67,50.768,2.959,5.182,11630,2.318,9.165,5397,0.917,4.254,3793,2.989,4.784,2.167,3209,2.529,1.595,1.655,HU,0
2017May,61554,48.509,4670,3.681,15800,12.452,6239,0,12244,82024,4.064,4.917,0,9.649,64.641,64762,4.637,51.037,3.032,5.233,11467,2.289,9.037,5796,0.791,4.567,4855,3.826,4.544,2.228,4860,3.83,1.614,1.673,HU,0
2017Apr,60340,47.553,5827,4.592,15852,12.493,6111,595,12581,82020,4.15,4.816,0.469,9.915,64.638,64684,4.725,50.976,2.853,5.631,11407,2.203,8.99,5928,0.843,4.672,3671,2.893,4.698,2.146,4632,3.651,1.645,1.676,HU,0
2017Mar,60658,47.804,4608,3.631,15792,12.445,6083,588,12817,81058,4.156,4.794,0.464,10.1,63.88,64359,4.728,50.72,2.951,5.616,11236,2.29,8.855,5463,0.898,4.305,3506,2.763,4.223,2.201,3660,2.884,1.677,1.719,HU,0
2017Feb,59828,47.149,4762,3.753,16314,12.857,6003,588,12937,80904,4.212,4.731,0.464,10.196,63.759,64131,4.772,50.54,2.869,5.698,10896,2.194,8.587,5877,0.909,4.631,4962,3.911,4.227,2.22,4542,3.58,1.729,1.769,HU,0
2017Jan,60809,47.922,5131,4.043,15385,12.124,5959,581,14550,81324,4.262,4.696,0.458,11.466,64.09,65590,4.844,51.69,2.923,5.75,10096,2.171,7.957,5638,0.979,4.443,4147,3.268,3.563,2.066,3665,2.889,1.742,1.774,HU,0
2016Dec,62407,53.739,5162,4.445,14236,12.259,5910,588,14965,81806,4.373,5.089,0.507,12.887,70.444,66571,4.927,57.325,3.285,5.79,9953,2.209,8.57,5282,1.037,4.548,3266,2.812,4.542,2.479,3441,2.963,1.764,1.824,HU,0
2016Nov,62206,53.566,4951,4.264,14474,12.464,5762,588,14824,81631,4.439,4.962,0.507,12.765,70.293,66487,4.969,57.252,3.337,5.835,9307,2.195,8.014,5838,1.044,5.027,2845,2.45,4.455,2.472,4445,3.828,1.781,1.842,HU,0
2016Oct,62084,53.461,4079,3.512,13869,11.942,5676,556,14285,80031,4.419,4.888,0.478,12.301,68.915,65064,4.962,56.027,3.476,5.773,9697,2.293,8.35,5271,1.13,4.539,3568,3.072,3.928,2.379,3818,3.287,1.822,1.886,HU,0
2016Sep,61820,53.234,4483,3.86,13478,11.606,6254,575,14030,79781,4.488,5.386,0.495,12.081,68.7,64830,4.993,55.825,3.241,5.839,9758,2.328,8.403,5194,1.14,4.472,3003,2.586,4.026,2.388,3652,3.145,1.831,1.899,HU,0
2016Aug,60333,51.953,4558,3.925,14240,12.262,6226,588,14030,79132,4.475,5.361,0.507,12.081,68.141,63101,5.036,54.337,3.322,5.653,9844,2.371,8.477,6187,1.125,5.327,3180,2.738,4.03,2.447,3753,3.232,1.826,1.895,HU,0
2016Jul,59543,51.273,4613,3.972,14402,12.402,6181,595,14156,78558,4.498,5.322,0.513,12.19,67.647,62475,5.076,53.798,3.383,5.665,9507,2.365,8.187,6576,1.086,5.663,2333,2.009,4.034,2.479,4270,3.677,1.82,1.89,HU,0
2016Jun,58515,50.388,4712,4.057,13394,11.534,6133,602,14156,76622,4.541,5.281,0.519,12.19,65.979,61339,5.107,52.819,3.418,5.725,9446,2.367,8.134,5836,0.978,5.026,3932,3.386,4.395,2.578,2413,2.078,1.865,1.937,HU,0
2016May,59188,50.967,4835,4.163,14118,12.157,6131,649,14156,78140,4.553,5.279,0.559,12.19,67.287,61610,5.131,53.053,3.427,5.75,9935,2.367,8.555,6595,0.989,5.679,3149,2.712,4.4,2.605,3695,3.181,1.901,1.974,HU,0
2016Apr,59665,51.378,4926,4.242,13004,11.198,7037,641,13664,77595,4.558,6.06,0.552,11.766,66.817,60533,5.153,52.125,3.506,5.764,11050,2.461,9.515,6012,1.048,5.177,2870,2.472,4.759,2.601,3587,3.089,1.929,2.003,HU,0
2016Mar,58971,50.781,4884,4.206,13023,11.214,6995,633,13784,76878,4.599,6.024,0.545,11.869,66.2,59455,5.221,51.197,3.525,5.85,10900,2.498,9.386,6524,1.043,5.617,5920,5.098,4.762,2.653,3207,2.761,1.947,1.985,HU,0
2016Feb,62011,53.398,5509,4.744,12071,10.395,6973,1271,14416,79592,4.689,6.004,1.094,12.414,68.537,62950,5.325,54.207,3.69,5.996,10769,2.48,9.274,5872,1.104,5.057,5933,5.109,4.734,2.606,2819,2.427,1.987,2.032,HU,0
2016Jan,63801,54.94,6933,5.97,11971,10.309,6985,1304,15138,82706,4.765,6.015,1.123,13.035,71.219,65798,5.366,56.659,3.812,6.048,10600,2.481,9.128,6308,1.102,5.432,3245,2.794,3.399,2.188,3719,3.202,1.985,2.045,HU,0
2015Dec,65002,57.677,6939,6.157,10291,9.131,6955,1339,15138,82232,4.896,6.171,1.188,13.432,72.965,66739,5.473,59.218,3.967,6.102,10371,2.477,9.202,5122,1.192,4.545,4861,4.313,4.824,2.674,4585,4.068,1.999,2.078,HU,0
2015Nov,63264,56.135,8299,7.363,10946,9.712,7850,1422,15566,82508,4.881,6.965,1.261,13.812,73.21,64197,5.462,56.962,4.021,6.082,12132,2.457,10.765,6180,1.243,5.483,1987,1.763,6.328,2.949,2443,2.168,1.98,2.062,HU,0
2015Oct,62365,55.337,8444,7.492,11244,9.977,7843,1389,15000,82053,4.776,6.959,1.232,13.31,72.806,63531,5.474,56.371,3.966,6.096,11793,2.419,10.464,6729,1.229,5.971,1668,1.48,6.515,2.974,2532,2.246,1.965,2.045,HU,0
2015Sep,62356,55.329,7817,6.936,11015,9.774,7809,1351,14732,81189,4.775,6.929,1.199,13.072,72.039,62501,5.505,55.458,3.989,6.343,11966,2.482,10.618,6721,1.311,5.964,2672,2.371,6.512,2.997,3994,3.544,1.952,2.031,HU,0
2015Aug,61189,54.293,7804,6.924,10873,9.648,7772,1370,14732,79867,4.879,6.896,1.215,13.072,70.866,61117,5.576,54.229,4.036,6.378,11986,2.527,10.635,6764,1.401,6.001,3199,2.839,6.512,3.091,2152,1.909,1.971,2.057,HU,0
2015Jul,61811,54.845,8441,7.49,10662,9.461,7735,1429,15000,80914,4.888,6.863,1.268,13.31,71.795,62475,5.593,55.435,4.04,6.39,11847,2.53,10.512,6591,1.484,5.848,3694,3.278,6.226,3.013,4923,4.368,2,2.086,HU,0
2015Jun,61462,54.535,7365,6.535,10858,9.635,7698,1408,14865,79685,4.962,6.831,1.25,13.19,70.705,61201,5.644,54.304,4.29,6.405,11495,2.413,10.2,6988,1.567,6.201,2211,1.962,6.709,3.549,4182,3.711,2.039,2.219,HU,0
2015May,60165,53.385,7423,6.586,10126,8.985,7662,1389,15000,77714,4.972,6.799,1.232,13.31,68.956,59498,5.694,52.793,4.425,6.438,11679,2.472,10.363,6537,1.682,5.8,6042,5.361,6.72,3.7,2948,2.615,2.077,2.348,HU,0
2015Apr,63373,56.231,6160,5.466,11275,10.004,7631,1370,14732,80808,5.08,6.771,1.215,13.072,71.701,61779,5.742,54.817,4.469,6.307,11311,2.464,10.036,7718,1.705,6.848,4141,3.674,6.672,3.836,5374,4.768,2.135,2.391,HU,0
2015Mar,61032,54.154,6235,5.532,12309,10.922,7549,1370,15138,79575,5.083,6.698,1.215,13.432,70.607,59684,5.761,52.958,4.532,6.357,11173,2.48,9.914,8717,1.892,7.735,2733,2.425,6.61,3.995,3911,3.47,2.288,2.509,HU,0
2015Feb,60030,53.265,5872,5.21,11592,10.285,6547,1370,14732,77493,5.108,5.81,1.215,13.072,68.76,58453,5.835,51.865,4.746,6.389,10738,2.469,9.527,8303,2.133,7.367,5445,4.832,6.655,4.036,5366,4.761,2.362,2.865,HU,0
2015Jan,61272,54.367,5385,4.778,10916,9.686,5940,1333,15929,77573,5.175,5.271,1.183,14.134,68.831,60252,5.872,53.462,4.765,6.408,9546,2.517,8.47,7775,2.124,6.899,3762,3.338,6.802,3.89,5787,5.135,2.494,2.952,HU,0
2014Dec,59810,56.392,5510,5.195,10229,9.644,6824,1282,14876,75548,5.277,6.434,1.209,14.026,71.231,59138,5.869,55.758,4.905,6.303,9257,2.472,8.728,7154,2.273,6.745,4803,4.529,6.542,4.068,3603,3.397,2.591,3.068,HU,0
2014Nov,60010,56.581,5481,5.167,11258,10.615,6058,1266,14400,76749,5.335,5.712,1.193,13.577,72.363,60172,5.929,56.733,5.559,6.315,8640,2.581,8.147,7936,2.509,7.483,3020,2.847,6.28,4.232,4163,3.925,2.663,3.124,HU,0
2014Oct,59315,55.925,4136,3.9,12155,11.46,5977,1266,14286,75606,5.363,5.636,1.193,13.469,71.285,58478,5.896,55.136,5.15,6.315,8363,4.024,7.885,8765,2.391,8.264,4495,4.238,6.116,4.362,5496,5.182,2.738,3.52,HU,0
2014Sep,56816,53.569,5387,5.079,12402,11.693,5929,1282,14286,74604,5.455,5.591,1.209,13.469,70.341,57942,5.966,54.63,5.669,6.346,7700,4.204,7.26,8962,2.571,8.45,1399,1.319,6.116,4.521,7353,6.933,2.86,3.578,HU,0
2014Aug,52478,49.479,4299,4.053,11873,11.194,5890,1250,13636,68650,5.42,5.554,1.179,12.857,64.726,53504,5.919,50.447,5.403,6.355,6694,4.287,6.311,8452,2.771,7.969,8049,7.589,6.678,4.825,2064,1.946,3.032,3.696,HU,0
2014Jul,54484,51.37,6731,6.346,13420,12.653,5853,1266,13433,74635,5.496,5.518,1.193,12.665,70.369,58051,5.989,54.734,5.814,6.364,6691,4.372,6.309,9892,2.829,9.327,3376,3.183,6.482,4.802,6964,6.566,3.167,3.773,HU,0
2014Jun,50825,47.92,6757,6.371,13464,12.695,6826,1250,13139,71046,5.51,6.436,1.179,12.388,66.986,55515,5.993,52.343,5.73,6.35,5823,4.403,5.49,9708,3.075,9.153,4169,3.93,6.431,4.847,3046,2.872,3.343,3.87,HU,0
2014May,50346,47.469,7064,6.661,14643,13.806,6797,1235,13235,72053,5.57,6.409,1.164,12.479,67.935,56048,6.036,52.844,5.877,6.353,5194,4.427,4.897,10812,3.133,10.194,4316,4.07,6.43,5.027,4132,3.896,3.462,3.929,HU,0
2014Apr,49503,46.674,8804,8.301,13929,13.133,6767,1829,12950,72237,5.655,6.38,1.725,12.21,68.109,56952,6.085,53.697,6.151,6.42,5020,4.531,4.733,10265,3.411,9.679,3277,3.089,6.471,5.128,4827,4.551,3.603,4.03,HU,0
2014Mar,48335,45.572,8016,7.558,14337,13.517,6739,1807,13043,70688,5.716,6.354,1.704,12.298,66.648,55251,6.076,52.093,6.04,6.427,4714,5.23,4.444,10723,3.498,10.11,4031,3.801,6.413,5.425,6655,6.275,3.792,4.195,HU,0
2014Feb,45958,43.331,8653,8.158,13453,12.684,6790,1829,10949,68063,5.818,6.402,1.725,10.323,64.174,52968,6.183,49.941,6.256,6.365,5074,5.52,4.784,10021,3.524,9.448,9329,8.796,6.413,5.623,3220,3.036,3.967,4.23,HU,0
2014Jan,54184,51.088,7420,6.996,12569,11.851,8603,1829,11111,74173,5.859,8.112,1.725,10.476,69.934,57316,6.234,54.04,6.307,6.375,7148,5.31,6.739,9709,3.738,9.155,5406,5.097,6.396,5.715,4237,3.995,4.137,4.436,HU,0
2013Dec,54432,53.347,8359,8.193,12550,12.3,9034,1807,10949,75342,5.949,8.854,1.771,10.731,73.84,58952,6.261,57.776,5.956,6.39,7176,5.416,7.033,9215,3.875,9.031,2403,2.355,6.454,5.924,3442,3.373,4.331,4.605,HU,0
2013Nov,52915,51.86,9364,9.177,12024,11.784,8957,1807,11029,74303,5.99,8.778,1.771,10.81,72.822,58002,6.26,56.846,5.78,6.504,7442,5.823,7.294,8859,4.147,8.682,3323,3.257,6.464,6.004,4473,4.384,4.535,4.801,HU,0
2013Oct,50249,49.247,9486,9.296,13419,13.152,8957,1744,8029,73154,5.984,8.778,1.709,7.869,71.695,55340,6.305,54.237,5.843,6.528,7529,5.502,7.379,10285,4.222,10.08,3739,3.664,6.465,6.312,3026,2.966,4.687,4.757,HU,0
2013Sep,49628,48.639,11684,11.451,12554,12.304,8958,1786,8148,73866,6.038,8.78,1.75,7.986,72.393,56788,6.317,55.656,5.902,6.529,7479,5.627,7.33,9599,4.59,9.408,2330,2.283,4.461,5.956,2659,2.606,4.946,4.96,HU,0
2013Aug,50096,49.097,10619,10.407,12823,12.567,8959,1765,8333,73537,6.119,8.78,1.729,8.167,72.071,55961,6.393,54.845,6.298,6.53,7418,5.652,7.27,10158,4.65,9.956,1465,1.435,4.89,6.05,2174,2.13,5.127,5.099,HU,0
2013Jul,52643,51.593,8115,7.953,12070,11.83,8961,1705,8271,72828,6.15,8.782,1.671,8.106,71.376,55610,6.41,54.502,6.479,6.534,7671,5.622,7.518,9547,4.935,9.356,2929,2.871,4.858,6.134,8873,8.696,5.347,5.266,HU,0
2013Jun,49407,48.422,5540,5.429,11937,11.699,7612,1765,8462,66884,6.02,7.46,1.729,8.293,65.55,51725,6.159,50.694,4.879,6.511,5598,6.032,5.487,9560,5.056,9.37,3702,3.628,4.858,6.159,3809,3.733,5.608,5.461,HU,0
2013May,49234,48.253,6373,6.246,11170,10.947,7726,1744,8462,66777,6.043,7.572,1.709,8.293,65.445,51527,6.198,50.499,4.77,6.543,6334,5.641,6.208,8916,5.371,8.738,6967,6.828,4.606,6.13,2475,2.426,5.809,5.61,HU,0
2013Apr,52743,51.691,6410,6.282,12116,11.875,8227,1765,8333,71269,6.032,8.063,1.729,8.167,69.848,53776,6.152,52.704,4.439,6.5,7564,5.71,7.413,9929,5.515,9.731,1919,1.881,5.007,6.179,3386,3.318,6.123,5.898,HU,0
2013Mar,51708,50.677,6320,6.194,11775,11.54,8217,1786,8594,69803,6.064,8.053,1.75,8.422,68.411,52586,6.152,51.537,4.367,6.502,7372,5.699,7.225,9845,5.828,9.649,3767,3.692,5.008,6.164,3065,3.004,6.312,6.043,HU,0
2013Feb,51435,50.409,7666,7.513,11404,11.177,8024,1744,8397,70504,6.084,7.864,1.709,8.23,69.099,52916,6.173,51.861,4.379,6.523,8030,5.402,7.87,9559,6.15,9.368,3889,3.811,4.944,6.273,12261,12.016,6.586,6.233,HU,0
2013Jan,45536,44.628,6692,6.559,9904,9.707,8230,1744,5699,62132,5.354,8.066,1.709,5.585,60.893,47592,5.333,46.643,4.503,4.969,6305,4.551,6.179,8235,6.296,8.071,3307,3.241,4.528,6.288,3672,3.599,6.715,6.617,HU,0
2012Dec,45681,45.688,7133,7.134,8954,8.955,7640,1829,5871,61767,5.29,7.641,1.83,5.872,61.777,48548,5.284,48.556,4.245,4.937,5794,4.068,5.795,7425,6.566,7.426,4599,4.599,4.458,6.291,2098,2.099,7.015,6.996,HU,0
2012Nov,47162,47.17,6289,6.29,10817,10.818,7736,1852,5962,64267,5.413,7.737,1.852,5.962,64.278,48952,5.286,48.96,3.938,4.992,5929,5.168,5.93,9386,6.666,9.388,5183,5.184,4.658,6.015,2553,2.554,7.114,7.089,HU,0
2012Oct,49192,49.2,8366,8.368,9085,9.086,9034,1875,5962,66643,5.51,9.036,1.875,5.962,66.654,51729,5.315,51.738,4.101,4.952,7121,5.019,7.122,7793,7.237,7.794,2971,2.971,6.375,6.375,2399,2.4,7.144,7.154,HU,0
2012Sep,50650,50.658,7269,7.27,9295,9.297,9034,1875,6008,67214,5.406,9.035,1.875,6.009,67.225,52016,5.307,52.024,4.031,5.273,7046,4.141,7.048,8152,7.28,8.153,1079,1.079,6.092,6.278,2529,2.529,7.199,7.209,HU,0
2012Aug,50187,50.195,7283,7.285,8294,8.295,9034,1899,6151,65764,5.413,9.035,1.899,6.152,65.775,51511,5.335,51.519,5.993,5.21,7016,4.158,7.017,7237,7.19,7.238,2505,2.505,5.487,6.074,2735,2.735,7.169,7.182,HU,0
2012Jul,49682,49.69,7244,7.245,8608,8.609,8971,1923,6301,65534,5.391,8.973,1.923,6.302,65.544,50899,5.322,50.907,5.938,5.191,6938,4.102,6.939,7697,7.358,7.698,1253,1.253,5.487,6.006,4927,4.928,7.09,7.105,HU,0
2012Jun,47756,47.764,7014,7.016,7090,7.091,8979,1852,6102,61860,5.353,8.981,1.852,6.103,61.87,48614,5.279,48.622,5.754,5.168,6835,4.248,6.836,6412,7.112,6.413,3183,3.183,6.166,6.084,4009,4.01,6.971,6.99,HU,0
2012May,45263,45.271,8145,8.146,7625,7.626,8979,1875,6250,61034,5.288,8.981,1.875,6.251,61.043,47674,5.203,47.682,5.326,5.08,6298,4.188,6.299,7061,7.112,7.062,3984,3.985,5.425,5.928,5043,5.044,6.816,6.837,HU,0
2012Apr,43483,43.49,8724,8.726,7767,7.769,8980,1829,5492,59975,5.364,8.981,1.83,5.493,59.985,46233,5.332,46.241,5.805,5.158,6421,4.21,6.422,7321,6.852,7.322,2308,2.309,5.513,5.789,2534,2.535,6.586,5.992,HU,0
2012Mar,43278,43.285,9252,9.253,7219,7.22,8981,1807,5451,59749,5.371,8.982,1.808,5.452,59.758,46571,5.346,46.578,6.022,5.127,6309,4.145,6.31,6869,6.632,6.87,2756,2.757,5.513,5.703,1855,1.855,6.467,5.864,HU,0
2012Feb,44960,44.967,8158,8.159,7533,7.534,8981,1786,5451,60650,5.387,8.982,1.786,5.452,60.66,47098,5.363,47.105,6,5.143,6323,4.102,6.324,7230,6.743,7.231,1504,1.504,6.266,5.821,3764,3.765,6.315,4.607,HU,0
2012Jan,46503,46.51,5383,5.384,6504,6.505,8856,1807,5534,58390,6.204,8.857,1.808,5.535,58.399,47266,6.332,47.273,6.24,6.334,4886,4.865,4.886,6239,6.318,6.24,3352,3.352,6.266,5.792,6915,6.916,-,-,HU,0
2011Dec,44278,43.401,5062,4.962,5486,5.378,8988,1807,5962,54827,5.465,8.81,1.771,5.843,53.741,43458,5.67,42.597,6.418,5.342,6133,3.337,6.011,5236,5.872,5.132,2124,2.082,6.356,5.824,1802,1.767,-,-,HU,0
2011Nov,44034,43.162,5149,5.047,5965,5.847,8988,1744,5410,55149,5.512,8.81,1.71,5.303,54.056,43093,5.721,42.24,6.462,5.387,6350,3.638,6.224,5705,5.717,5.592,1874,1.837,6.356,5.806,2819,2.763,-,-,HU,0
2011Oct,45034,44.142,2830,2.774,6340,6.214,8980,1744,5216,54204,5.449,8.802,1.71,5.113,53.131,41804,5.658,40.976,6.219,5.374,6327,3.624,6.202,6074,5.653,5.954,5373,5.267,6.353,5.797,1278,1.253,-,-,HU,0
2011Sep,47936,46.987,4157,4.075,6205,6.082,9980,1724,5699,58299,5.491,9.783,1.69,5.586,57.144,46108,5.691,45.195,6.478,5.362,6266,3.627,6.142,5924,5.67,5.807,5294,5.189,7.025,5.866,1597,1.565,-,-,HU,0
2011Aug,49933,48.944,4349,4.263,7714,7.561,9980,1705,5035,61996,5.182,9.783,1.671,4.935,60.768,47663,5.273,46.719,5.865,4.652,6922,3.817,6.785,7411,5.708,7.264,3370,3.303,7.041,5.977,2824,2.768,-,-,HU,0
2011Jul,50608,49.606,4653,4.561,7280,7.136,9985,1705,5070,62542,5.267,9.787,1.671,4.97,61.304,49007,5.362,48.036,5.914,4.722,6567,3.814,6.437,6968,5.711,6.83,5221,5.118,6.572,5.854,3056,2.996,-,-,HU,0
2011Jun,52987,51.937,4282,4.197,7438,7.291,9985,1667,5000,64707,5.447,9.787,1.634,4.901,63.426,51061,5.546,50.049,5.885,4.91,6525,4.181,6.396,7122,5.751,6.981,5181,5.079,6.634,5.967,1074,1.053,-,-,HU,0
2011May,55899,54.792,3680,3.607,9235,9.052,10985,1705,5035,68814,5.437,10.767,1.671,4.935,67.451,53430,5.547,52.372,6.502,4.832,6467,3.991,6.339,8917,5.712,8.74,1177,1.154,6.523,5.946,3444,3.375,-,-,HU,0
2011Apr,54557,53.476,3693,3.62,8298,8.134,9986,1685,4899,66547,5.543,9.788,1.652,4.802,65.229,52179,5.689,51.145,5.45,5.094,6386,4.028,6.259,7983,5.596,7.825,4165,4.083,6.523,5.935,2042,2.001,-,-,HU,0
2011Mar,54256,53.181,5692,5.579,8723,8.55,9984,1705,5106,68671,5.523,9.786,1.671,5.005,67.311,53830,5.697,52.763,5.448,5.051,6423,3.721,6.295,8419,5.615,8.252,967,0.948,6.13,5.792,7252,7.108,-,-,HU,0
2011Feb,49729,48.744,5188,5.086,7469,7.321,9984,1765,2536,62386,5.784,9.786,1.73,2.486,61.15,48902,6.088,47.934,6.045,5.809,6316,3.372,6.191,7168,5.51,7.026,1543,1.513,6.477,5.987,3078,3.017,-,-,HU,0
2011Jan,48176,47.222,5999,5.88,6676,6.544,9984,1765,2555,60851,5.738,9.786,1.73,2.504,59.645,48336,6.145,47.379,6.043,5.862,6141,2.983,6.02,6374,5.459,6.247,1749,1.715,6.305,5.926,3465,3.397,-,-,HU,0
2010Dec,46599,46.797,5779,5.804,6756,6.785,9976,1744,2612,59134,5.668,10.019,1.752,2.623,59.386,46322,6.078,46.519,6.265,5.592,6355,2.957,6.382,6458,5.362,6.486,2926,2.938,-,-,1731,1.738,-,-,HU,0
2010Nov,47108,47.309,5901,5.926,7320,7.351,9976,1807,2692,60329,5.689,10.019,1.815,2.704,60.586,47176,6.075,47.376,6.292,5.61,6142,3.052,6.168,7012,5.318,7.042,1968,1.976,-,-,3693,3.708,-,-,HU,0
2010Oct,46021,46.217,5940,5.966,6642,6.671,9976,1724,2500,58604,5.707,10.018,1.731,2.511,58.854,46039,6.106,46.235,6.292,5.6,6244,3.089,6.271,6321,5.369,6.348,3636,3.652,-,-,2575,2.586,-,-,HU,0
2010Sep,47760,47.963,4926,4.947,6979,7.009,9142,1727,2574,59665,5.731,9.181,1.735,2.584,59.919,46876,6.129,47.076,6.306,5.606,6126,3.106,6.152,6663,5.355,6.691,2194,2.203,-,-,3389,3.403,-,-,HU,0
2010Aug,46579,46.777,5798,5.823,6093,6.119,10136,1810,2756,58470,5.768,10.18,1.818,2.768,58.719,46680,6.108,46.878,7.01,5.523,6025,3.4,6.05,5765,5.441,5.79,2603,2.614,-,-,5289,5.312,-,-,HU,0
2010Jul,42837,43.02,7026,7.055,5921,5.946,10130,1810,2672,55784,5.7,10.173,1.818,2.683,56.021,45103,6.043,45.295,6.527,5.455,5104,2.889,5.126,5576,5.448,5.6,4326,4.345,-,-,4517,4.536,-,-,HU,0
2010Jun,44484,44.673,7777,7.81,3331,3.346,10130,1833,2869,55593,5.419,10.173,1.84,2.881,55.829,47769,5.529,47.972,6.242,5.458,4536,4.1,4.555,3288,5.152,3.302,2810,2.822,-,-,12732,12.787,-,-,HU,0
2010May,36776,36.932,7730,7.763,1164,1.169,10130,1768,2846,45670,-,10.173,1.775,2.858,45.864,40012,-,40.183,-,-,4519,-,4.538,1139,-,1.144,10847,10.893,-,-,782,0.785,-,-,HU,0
2010Apr,46429,46.627,7852,7.886,1453,1.459,10128,1727,2632,55735,-,10.172,1.735,2.643,55.972,49746,-,49.958,-,-,4562,-,4.581,1426,-,1.432,3098,3.111,-,-,1373,1.379,-,-,HU,0
2010Mar,48152,48.356,7729,7.762,1579,1.586,10125,1688,2593,57459,-,10.168,1.696,2.604,57.704,51319,-,51.537,-,-,4603,-,4.623,1538,-,1.544,1871,1.879,-,-,9211,9.25,-,-,HU,0
2010Feb,39583,39.751,7646,7.678,2891,2.904,10107,1688,2574,50120,-,10.15,1.696,2.584,50.333,42833,-,43.016,-,-,4416,-,4.435,2871,-,2.883,7509,7.541,-,-,867,0.871,-,-,HU,0
2010Jan,47084,47.284,6764,6.792,2915,2.927,10107,1727,2518,56762,-,10.15,1.735,2.529,57.004,49485,-,49.695,-,-,4389,-,4.407,2889,-,2.901,2186,2.195,-,-,9229,9.268,-,-,HU,0
2009Dec,38585,40.882,6743,7.144,4391,4.652,10097,1688,1049,49719,-,10.698,1.789,1.111,52.678,41011,-,43.452,-,-,4359,-,4.619,4348,-,4.607,6750,7.152,-,-,1493,1.582,-,-,HU,0
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HU,0