Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018Oct,8050,13.405,200,0.333,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,0.436,1.317,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Sep,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,0.436,1.317,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Aug,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.317,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Jul,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.317,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Jun,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.317,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018May,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Apr,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Mar,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Feb,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2018Jan,8250,13.738,0,0,0,0,8250,0,0,8250,2.12,13.738,0,0,13.738,8250,2.12,13.738,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Dec,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Nov,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Oct,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Sep,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Aug,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Jul,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Jun,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017May,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Apr,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Mar,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,0,0,-,0.735,LU,1
2017Feb,8250,14.521,0,0,0,0,8250,0,0,8250,2.12,14.521,0,0,14.521,8250,2.12,14.521,-,1.651,0,-,0,0,-,0,0,0,-,-,2000,3.52,-,0.735,LU,1
2017Jan,6250,11.001,0,0,0,0,6250,0,0,6250,2.562,11.001,0,0,11.001,6250,2.562,11.001,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Dec,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Nov,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Oct,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Sep,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Aug,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Jul,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Jun,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016May,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Apr,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Mar,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Feb,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2016Jan,6250,11.391,0,0,0,0,6250,0,0,6250,2.562,11.391,0,0,11.391,6250,2.562,11.391,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2015Dec,6250,12.004,0,0,0,0,6250,0,0,6250,2.562,12.004,0,0,12.004,6250,2.562,12.004,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2015Nov,6250,12.004,0,0,0,0,6250,0,0,6250,2.562,12.004,0,0,12.004,6250,2.562,12.004,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2015Oct,6250,12.004,0,0,0,0,6250,0,0,6250,2.562,12.004,0,0,12.004,6250,2.562,12.004,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2015Sep,6250,12.004,0,0,0,0,6250,0,0,6250,2.562,12.004,0,0,12.004,6250,2.562,12.004,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Aug,6250,12.004,0,0,0,0,6250,0,0,6250,2.562,12.004,0,0,12.004,6250,2.562,12.004,-,2.26,0,-,0,0,-,0,0,0,-,-,200,0.384,-,0.436,LU,1
2015Jul,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Jun,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015May,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Apr,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.26,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Mar,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.633,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Feb,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.633,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2015Jan,6050,11.62,0,0,0,0,6050,0,0,6050,2.633,11.62,0,0,11.62,6050,2.633,11.62,-,2.633,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2014Dec,6050,12.143,0,0,0,0,6050,0,0,6050,2.633,12.143,0,0,12.143,6050,2.633,12.143,-,2.633,0,-,0,0,-,0,0,0,-,-,0,0,-,0.436,LU,1
2014Nov,6050,12.143,0,0,0,0,6050,0,0,6050,2.633,12.143,0,0,12.143,6050,2.633,12.143,-,2.633,0,-,0,0,-,0,200,0.401,-,-,0,0,-,0.436,LU,1
2014Oct,6250,12.544,0,0,0,0,6250,0,0,6250,2.561,12.544,0,0,12.544,6250,2.561,12.544,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,200,0.401,-,0.436,LU,1
2014Sep,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,-,LU,1
2014Aug,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,-,LU,1
2014Jul,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.784,LU,1
2014Jun,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.242,LU,1
2014May,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.242,LU,1
2014Apr,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.242,LU,1
2014Mar,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.242,LU,1
2014Feb,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.251,LU,1
2014Jan,6050,12.143,0,0,0,0,6050,0,0,6050,2.631,12.143,0,0,12.143,6050,2.631,12.143,-,2.631,0,-,0,0,-,0,0,0,3.71,3.71,0,0,-,2.251,LU,1
2013Dec,6050,13.011,0,0,0,0,6050,0,0,6050,2.631,13.011,0,0,13.011,6050,2.631,13.011,-,2.631,0,-,0,0,-,0,2000,4.301,3.71,3.71,0,0,-,2.251,LU,1
2013Nov,6050,13.011,2000,4.301,0,0,8050,0,0,8050,2.631,17.312,0,0,17.312,8050,2.631,17.312,-,2.631,0,-,0,0,-,0,0,0,-,-,0,0,-,2.251,LU,1
2013Oct,6050,13.011,2000,4.301,0,0,8050,0,0,8050,2.899,17.312,0,0,17.312,8050,2.899,17.312,3.71,2.631,0,-,0,0,-,0,0,0,-,-,0,0,-,2.251,LU,1
2013Sep,6050,13.011,2000,4.301,0,0,8050,0,0,8050,2.899,17.312,0,0,17.312,8050,2.899,17.312,3.71,2.631,0,-,0,0,-,0,0,0,-,-,0,0,-,2.251,LU,1
2013Aug,6050,13.011,2000,4.301,0,0,8050,0,0,8050,2.9,17.312,0,0,17.312,8050,2.9,17.312,3.71,2.633,0,-,0,0,-,0,0,0,-,-,300,0.645,-,2.251,LU,1
2013Jul,5750,12.366,2000,4.301,0,0,7750,0,0,7750,2.905,16.667,0,0,16.667,7750,2.905,16.667,3.71,2.625,0,-,0,0,-,0,0,0,-,-,2000,4.301,-,2.193,LU,1
2013Jun,3750,8.065,2000,4.301,0,0,5750,0,0,5750,3.164,12.366,0,0,12.366,5750,3.164,12.366,3.71,2.872,0,-,0,0,-,0,0,0,-,-,0,0,-,2.279,LU,1
2013May,3750,8.065,2000,4.301,0,0,5750,0,0,5750,3.164,12.366,0,0,12.366,5750,3.164,12.366,3.71,2.872,0,-,0,0,-,0,0,0,-,-,0,0,-,2.279,LU,1
2013Apr,3750,8.065,2000,4.301,0,0,5750,0,0,5750,3.164,12.366,0,0,12.366,5750,3.164,12.366,3.71,2.872,0,-,0,0,-,0,0,0,-,-,0,0,-,2.279,LU,1
2013Mar,3750,8.065,2000,4.301,0,0,5750,0,0,5750,3.164,12.366,0,0,12.366,5750,3.164,12.366,3.71,2.872,0,-,0,0,-,0,0,0,-,-,750,1.613,-,2.279,LU,1
2013Feb,3000,6.452,2000,4.301,0,0,5000,0,0,5000,3.296,10.753,0,0,10.753,5000,3.296,10.753,3.71,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2013Jan,3000,6.452,2000,4.301,0,0,5000,0,0,5000,3.296,10.753,0,0,10.753,5000,3.296,10.753,3.71,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Dec,3000,6.801,2000,4.534,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,3.71,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Nov,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,3.71,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Oct,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Sep,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Aug,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Jul,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Jun,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012May,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Apr,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,0,0,-,2.287,LU,1
2012Mar,5000,11.335,0,0,0,0,5000,0,0,5000,3.296,11.335,0,0,11.335,5000,3.296,11.335,-,3.021,0,-,0,0,-,0,0,0,-,-,1000,2.267,-,2.287,LU,1
2012Feb,4000,9.068,0,0,0,0,4000,0,0,4000,3.549,9.068,0,0,9.068,4000,3.549,9.068,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2012Jan,4000,9.068,0,0,0,0,4000,0,0,4000,3.549,9.068,0,0,9.068,4000,3.549,9.068,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Dec,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Nov,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Oct,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Sep,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Aug,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Jul,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Jun,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011May,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Apr,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Mar,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Feb,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2011Jan,4000,9.267,0,0,0,0,4000,0,0,4000,3.549,9.267,0,0,9.267,4000,3.549,9.267,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Dec,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Nov,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Oct,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Sep,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Aug,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Jul,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Jun,4000,9.956,0,0,0,0,4000,0,0,4000,3.549,9.956,0,0,9.956,4000,3.549,9.956,-,3.387,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010May,4000,9.956,0,0,0,0,4000,0,0,4000,-,9.956,0,0,9.956,4000,-,9.956,-,-,0,-,0,0,-,0,0,0,-,-,2000,4.978,-,-,LU,1
2010Apr,2000,4.978,0,0,0,0,2000,0,0,2000,-,4.978,0,0,4.978,2000,-,4.978,-,-,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Mar,2000,4.978,0,0,0,0,2000,0,0,2000,-,4.978,0,0,4.978,2000,-,4.978,-,-,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Feb,2000,4.978,0,0,0,0,2000,0,0,2000,-,4.978,0,0,4.978,2000,-,4.978,-,-,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2010Jan,2000,4.978,0,0,0,0,2000,0,0,2000,-,4.978,0,0,4.978,2000,-,4.978,-,-,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2009Dec,2000,5.409,0,0,0,0,2000,0,0,2000,-,5.409,0,0,5.409,2000,-,5.409,-,-,0,-,0,0,-,0,0,0,-,-,0,0,-,-,LU,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LU,1