Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017Apr,274238,37.152,38809,5.258,14810,2.006,300710,0,0,327857,2.4,40.739,0,0,44.416,311432,2.509,42.191,1.896,2.704,0,-,0,16425,-0.748,2.225,15239,2.064,2.323,0.745,6904,0.935,-0.707,-0.43,NL,1
2017Mar,283678,38.431,37074,5.023,15440,2.092,297126,0,0,336192,2.404,40.253,0,0,45.546,319137,2.523,43.235,1.896,2.734,0,-,0,17055,-0.773,2.311,4215,0.571,3.008,0.816,4513,0.611,-0.693,-0.424,NL,1
2017Feb,281675,38.16,38179,5.172,16040,2.173,295229,0,0,335894,2.34,39.996,0,0,45.505,317239,2.471,42.978,2.167,2.734,1000,-,0.135,17655,-0.786,2.392,10895,1.476,2.285,0.752,11303,1.531,-0.654,-0.311,NL,1
2017Jan,276462,37.454,42125,5.707,16899,2.289,290180,0,4617,335487,2.385,39.312,0,0.625,45.45,315973,2.502,42.806,2.166,2.809,1000,0.045,0.135,18514,-0.82,2.508,17803,2.412,2.414,0.757,10315,1.397,-0.633,-0.431,NL,1
2016Dec,286685,40.473,39691,5.603,16600,2.343,286774,0,4428,342975,2.397,40.485,0,0.625,48.42,323760,2.507,45.707,2.071,2.809,1000,0.045,0.141,18215,-0.744,2.571,5473,0.773,2.321,0.523,6489,0.916,-0.588,-0.386,NL,1
2016Nov,287525,40.592,39764,5.614,14670,2.071,287614,0,3089,341959,2.406,40.604,0,0.436,48.276,324674,2.51,45.836,2.496,2.662,1000,0.045,0.141,16285,-0.684,2.299,4498,0.635,2.321,0.547,7662,1.082,-0.564,-0.353,NL,1
2016Oct,285245,40.27,39660,5.599,13890,1.961,285342,0,2977,338795,2.436,40.283,0,0.42,47.83,322290,2.525,45.499,2.5,2.693,1000,-,0.141,15505,-0.637,2.189,4755,0.671,2.32,0.558,4372,0.617,-0.52,-0.313,NL,1
2016Sep,283641,40.043,39607,5.592,15930,2.249,283738,0,2924,339177,2.427,40.057,0,0.413,47.884,320632,2.536,45.266,2.502,2.721,1000,-,0.141,17545,-0.596,2.477,7195,1.016,2.321,0.57,8625,1.218,-0.507,-0.314,NL,1
2016Aug,279786,39.499,40042,5.653,17920,2.53,279898,0,4843,337747,2.446,39.515,0,0.684,47.682,317212,2.557,44.783,2.519,2.771,1000,-,0.141,19535,-0.568,2.758,4798,0.677,2.32,0.57,6873,0.97,-0.477,-0.289,NL,1
2016Jul,279823,39.504,40118,5.664,15732,2.221,279935,0,2950,335673,2.453,39.52,0,0.416,47.389,317326,2.557,44.799,2.521,2.771,1000,-,0.141,17347,-0.538,2.449,17927,2.531,2.118,0.635,6897,0.974,-0.449,-0.262,NL,1
2016Jun,290303,40.984,40441,5.709,15960,2.253,277460,0,2950,346703,2.466,39.171,0,0.416,48.946,328128,2.573,46.324,2.521,2.808,1000,-,0.141,17575,-0.506,2.481,5952,0.84,0.364,-0.121,9577,1.352,-0.42,-0.24,NL,1
2016May,286007,40.377,40511,5.719,16561,2.338,273184,0,3851,343078,2.568,38.567,0,0.544,48.434,323902,2.673,45.727,2.369,2.961,1000,-,0.141,18176,-0.462,2.566,2350,0.332,1.637,0.456,8382,1.183,-0.395,-0.214,NL,1
2016Apr,283149,39.974,40358,5.698,13540,1.912,270276,0,2848,337047,2.587,38.156,0,0.402,47.583,320942,2.693,45.309,2.373,3.005,1000,-,0.141,15105,-0.466,2.132,16787,2.37,1.636,0.488,5187,0.732,-0.372,-0.191,NL,1
2016Mar,294465,41.571,40472,5.714,13710,1.936,270004,0,2872,348647,2.599,38.118,0,0.406,49.22,332122,2.688,46.888,2.363,3.007,1000,-,0.141,15525,-0.462,2.192,7095,1.002,2.657,0.54,11306,1.596,-0.358,-0.165,NL,1
2016Feb,290579,41.023,40177,5.672,13680,1.931,269665,0,3004,344435,2.507,38.07,0,0.424,48.626,327940,2.714,46.297,3.104,3.1,1000,-,0.141,15495,-0.032,2.188,15803,2.231,1.839,0.609,4340,0.613,-0.307,-0.092,NL,1
2016Jan,303902,42.904,38756,5.471,13240,1.869,273759,0,3004,355898,2.66,38.648,0,0.424,50.244,339843,2.84,47.978,3.121,3.321,1000,-,0.141,15055,0.046,2.125,7721,1.09,1.842,0.614,6010,0.848,-0.282,-0.062,NL,1
2015Dec,315360,45.704,28198,4.087,14051,2.036,274964,0,3766,357610,2.666,39.849,0,0.546,51.827,340743,2.843,49.383,3.418,3.327,1000,-,0.145,15866,0.091,2.299,5647,0.818,1.842,0.674,3326,0.482,-0.243,-0.013,NL,1
2015Nov,315640,45.744,28420,4.119,15870,2.3,278369,0,3089,359930,2.645,40.343,0,0.448,52.163,341245,2.843,49.455,4.082,3.331,1000,-,0.145,17685,0.064,2.563,13599,1.971,2.122,0.982,14602,2.116,-0.243,-0.012,NL,1
2015Oct,313968,45.502,28422,4.119,16536,2.397,277450,0,3113,358927,2.622,40.21,0,0.451,52.018,339576,2.82,49.213,4.082,3.231,1000,-,0.145,18351,0.059,2.66,13473,1.953,2.122,1.066,9978,1.446,-0.216,0.003,NL,1
2015Sep,309473,44.851,28422,4.119,24526,3.554,273297,0,10026,362422,2.628,39.608,0,1.453,52.524,336646,2.832,48.789,4.082,3.267,1000,-,0.145,24776,0.064,3.591,8746,1.267,2.122,1.107,15608,2.262,-0.197,0.015,NL,1
2015Aug,309070,44.792,31533,4.57,14956,2.168,264593,55,8366,355559,2.639,38.346,0.008,1.212,51.53,339353,2.85,49.181,4.082,3.27,1000,-,0.145,15206,0.051,2.204,6122,0.887,2.268,1.079,7667,1.111,-0.162,0.089,NL,1
2015Jul,300882,43.606,31589,4.578,13301,1.928,264253,57,7068,345773,2.546,38.297,0.008,1.024,50.111,331222,2.706,48.003,3.435,3.039,1000,-,0.145,13551,0.128,1.964,18934,2.744,2.268,1.188,8470,1.228,-0.154,0.104,NL,1
2015Jun,311139,45.092,29220,4.235,15877,2.301,273300,56,8221,356236,2.523,39.608,0.008,1.191,51.628,339109,2.738,49.146,3.439,3.081,1000,-,0.145,16127,0.057,2.337,8821,1.278,1.771,0.715,12327,1.786,-0.138,0.124,NL,1
2015May,306581,44.431,29319,4.249,16830,2.439,270035,56,7863,352729,2.612,39.135,0.008,1.14,51.12,334649,2.784,48.499,2.657,3.124,1000,-,0.145,17080,0.122,2.475,7124,1.032,2.538,1.212,10054,1.457,-0.127,0.142,NL,1
2015Apr,301778,43.735,30771,4.459,17250,2.5,267245,55,6049,349799,2.668,38.731,0.008,0.877,50.695,331299,2.828,48.014,2.681,3.172,1000,-,0.145,17500,0.176,2.536,17340,2.513,2.538,1.166,8410,1.219,-0.04,0.165,NL,1
2015Mar,312922,45.35,28512,4.132,17295,2.506,276009,55,6215,358729,2.666,40.001,0.008,0.901,51.989,340184,2.848,49.301,2.669,3.175,1000,-,0.145,17545,0.165,2.543,5903,0.855,3.464,1.221,14627,2.12,-0.018,0.17,NL,1
2015Feb,303693,44.013,28896,4.188,17415,2.524,266812,55,6049,350004,2.666,38.668,0.008,0.877,50.725,331339,2.85,48.02,1.875,3.298,1000,-,0.145,17665,0.181,2.56,6087,0.882,3.463,1.213,9387,1.36,0.022,0.576,NL,1
2015Jan,299729,43.439,29134,4.222,17841,2.586,261445,53,8079,346704,2.682,37.89,0.008,1.171,50.246,327613,2.872,47.48,1.89,3.303,1000,-,0.145,18091,0.185,2.622,21165,3.067,3.463,1.123,9108,1.32,0.05,0.828,NL,1
2014Dec,296191,44.105,39464,5.877,23056,3.433,275973,51,5599,358711,2.729,41.094,0.008,0.834,53.415,334405,2.905,49.795,1.904,3.303,1000,-,0.149,23306,0.208,3.47,690,0.103,3.835,0.857,1612,0.24,0.061,0.851,NL,1
2014Nov,296047,44.083,39812,5.928,21931,3.266,275231,51,5420,357789,2.699,40.984,0.008,0.807,53.277,334609,2.905,49.826,2.163,3.207,1000,-,0.149,22181,0.206,3.303,5348,0.796,2.451,0.894,7321,1.09,0.061,0.851,NL,1
2014Oct,292533,43.56,40197,5.986,23086,3.438,273301,51,5377,355816,2.706,40.696,0.008,0.801,52.984,331481,2.912,49.36,2.173,3.229,1000,0.174,0.149,23336,0.219,3.475,16133,2.402,2.476,0.894,7063,1.052,0.07,0.849,NL,1
2014Sep,292912,43.617,40665,6.055,31308,4.662,273742,51,13615,364886,2.699,40.762,0.008,2.027,54.334,329328,2.93,49.039,2.171,3.229,4000,1.774,0.596,31558,0.219,4.699,11913,1.774,2.475,0.872,21370,3.182,0.079,0.843,NL,1
2014Aug,288747,42.996,38578,5.744,28105,4.185,266294,0,11657,355429,2.756,39.653,0,1.736,52.926,323074,2.979,48.108,2.19,3.343,4000,1.774,0.596,28355,0.244,4.222,14844,2.21,2.476,0.856,11898,1.772,0.098,0.937,NL,1
2014Jul,288559,42.968,40551,6.038,29266,4.358,266748,127,13836,358376,2.744,39.721,0.019,2.06,53.365,324860,2.979,48.374,2.319,3.347,4000,1.817,0.596,29516,0.231,4.395,24797,3.693,2.477,0.835,14766,2.199,0.088,0.873,NL,1
2014Jun,298778,44.49,38200,5.688,31429,4.68,279975,375,12141,368407,2.761,41.69,0.056,1.808,54.858,333978,3.001,49.732,2.311,3.379,3000,2.307,0.447,31429,0.225,4.68,10729,1.598,1.345,0.318,19180,2.856,0.083,0.842,NL,1
2014May,292133,43.501,40629,6.05,27195,4.05,281263,185,6128,359956,2.825,41.882,0.028,0.912,53.6,329761,3.068,49.104,2.504,3.441,3000,2.307,0.447,27195,0.221,4.05,5348,0.796,2.761,1.033,13905,2.07,0.075,0.895,NL,1
2014Apr,289303,43.079,40652,6.053,21445,3.193,274266,0,4874,351400,2.81,40.84,0,0.726,52.326,326955,3.078,48.686,2.505,3.467,3000,2.307,0.447,21445,0.187,3.193,10794,1.607,2.806,1.018,8575,1.277,0.057,0.886,NL,1
2014Mar,299253,44.561,28580,4.256,25785,3.84,277346,181,5964,353618,2.822,41.299,0.027,0.888,52.656,324833,3.111,48.37,2.531,3.468,3000,2.307,0.447,25785,0.176,3.84,18544,2.761,2.822,1.023,18962,2.824,0.045,0.873,NL,1
2014Feb,286675,42.688,31908,4.751,34617,5.155,275491,366,10620,353200,2.869,41.023,0.054,1.581,52.594,315583,3.183,46.993,3.425,3.535,3000,2.307,0.447,34617,0.171,5.155,21844,3.253,2.822,1.002,18854,2.808,0.032,0.962,NL,1
2014Jan,285704,42.543,33389,4.972,37015,5.512,271894,354,17655,356108,2.846,40.487,0.053,2.629,53.027,312390,3.185,46.517,3.425,3.554,5593,1.861,0.833,38126,0.17,5.677,23173,3.451,2.822,0.99,20753,3.09,0.025,0.783,NL,1
2013Dec,298884,45.254,33563,5.082,26082,3.949,283517,289,11332,358528,2.859,42.927,0.044,1.716,54.284,324702,3.219,49.163,3.426,3.556,6650,1.495,1.007,27176,0.186,4.115,10403,1.575,4.136,0.933,12088,1.83,0.013,0.771,NL,1
2013Nov,294083,44.527,34304,5.194,28457,4.309,280955,392,14294,356844,2.823,42.539,0.059,2.164,54.029,320607,3.13,48.543,2.663,3.467,6676,1.498,1.011,29560,0.18,4.476,11690,1.77,3.103,1.053,12077,1.829,0.013,0.771,NL,1
2013Oct,292208,44.243,34288,5.191,29961,4.536,278097,691,16361,356457,2.842,42.106,0.105,2.477,53.971,318751,3.142,48.262,2.681,3.492,6650,1.499,1.007,31056,0.178,4.702,14576,2.207,3.112,1.071,14270,2.161,0.008,0.775,NL,1
2013Sep,287722,43.564,34307,5.194,34734,5.259,276894,179,20280,356763,2.857,41.924,0.027,3.071,54.017,314215,3.151,47.575,2.682,3.519,6704,1.496,1.015,35845,0.156,5.427,5970,0.904,3.111,1.078,12902,1.954,0.002,0.782,NL,1
2013Aug,287968,43.601,34372,5.204,27491,4.162,276724,0,14148,349831,2.847,41.899,0,2.142,52.967,314415,3.151,47.605,2.683,3.519,6788,1.49,1.028,28628,0.145,4.335,15937,2.413,3.111,1.101,13940,2.111,-0.009,0.747,NL,1
2013Jul,283642,42.946,35113,5.316,32171,4.871,271340,1109,19975,350926,2.875,41.083,0.168,3.024,53.133,310116,3.159,46.954,2.683,3.548,7511,1.499,1.137,33299,0.159,5.042,28118,4.257,3.169,1.097,14994,2.27,-0.014,0.743,NL,1
2013Jun,297972,45.116,34037,5.153,32041,4.851,286823,100,21424,364050,2.884,43.428,0.015,3.244,55.12,323240,3.158,48.941,2.685,3.548,7615,1.4,1.153,33195,0.137,5.026,8196,1.241,1.895,0.473,20701,3.134,-0.012,0.864,NL,1
2013May,289538,43.839,34037,5.153,27970,4.235,277284,387,18411,351544,3.008,41.983,0.059,2.788,53.227,314805,3.266,47.664,2.857,3.728,7615,1.404,1.153,29123,0.152,4.41,8107,1.228,3.429,1.211,11829,1.791,-0.008,0.799,NL,1
2013Apr,288412,43.668,33990,5.146,25420,3.849,276605,159,15477,347822,3.005,41.881,0.024,2.343,52.663,313720,3.278,47.5,2.857,3.729,7545,1.41,1.142,26556,0.156,4.021,23906,3.62,3.427,1.229,18395,2.785,-0.001,0.8,NL,1
2013Mar,291167,44.085,34065,5.158,28101,4.255,268463,0,20996,353333,3.116,40.648,0,3.179,53.498,316373,3.367,47.902,2.872,3.865,7688,1.399,1.164,29273,0.175,4.432,37660,5.702,3.428,1.307,21093,3.194,0.004,0.808,NL,1
2013Feb,292696,44.317,34004,5.149,43200,6.541,275735,3081,31378,369900,3.092,41.749,0.467,4.751,56.006,311975,3.402,47.236,2.872,4.045,7580,1.407,1.148,50346,0.098,7.623,15434,2.337,3.429,1.382,26154,3.96,0.008,0.751,NL,1
2013Jan,281455,42.615,33920,5.136,35564,5.385,266665,2143,30650,350939,3.009,40.376,0.324,4.641,53.135,300492,3.311,45.497,2.87,3.838,8147,1.425,1.234,42299,0.107,6.405,38141,5.775,3.429,1.432,22016,3.333,0.012,0.977,NL,1
2012Dec,300565,46.031,32256,4.94,34242,5.244,278278,622,31669,367063,3.159,42.618,0.095,4.85,56.215,317760,3.424,48.664,2.899,4.048,8303,1.346,1.272,41000,0.376,6.279,9849,1.508,5.043,1.451,12018,1.84,0.017,0.998,NL,1
2012Nov,299214,45.824,33220,5.088,32461,4.971,279488,173,28602,364895,3.109,42.803,0.026,4.38,55.883,318050,3.361,48.708,3.103,3.895,8385,1.339,1.284,38461,0.377,5.89,7505,1.149,3.777,1.594,13348,2.044,0.019,0.972,NL,1
2012Oct,294518,45.105,33230,5.089,31303,4.794,275163,150,27107,359051,3.114,42.14,0.023,4.151,54.988,313364,3.386,47.991,3.112,3.962,8385,1.342,1.284,37303,0.366,5.713,12217,1.871,3.777,1.585,14794,2.266,0.021,0.993,NL,1
2012Sep,290394,44.473,37242,5.703,28839,4.417,272312,0,27042,356474,3.131,41.704,0,4.141,54.593,309209,3.398,47.355,3.113,4.002,12426,1.347,1.903,34839,0.383,5.335,10054,1.54,3.776,1.608,11812,1.809,0.044,0.998,NL,1
2012Aug,285311,43.695,37260,5.706,32146,4.923,274032,0,23522,354716,3.19,41.967,0,3.602,54.324,304015,3.448,46.559,3.112,4.002,13349,0.739,2.044,37352,0.405,5.72,11757,1.801,3.777,1.606,10136,1.552,0.054,1.106,NL,1
2012Jul,283577,43.429,36487,5.588,36274,5.555,271068,1410,27036,356338,3.184,41.513,0.216,4.14,54.572,302186,3.472,46.279,3.111,4.001,13504,0.749,2.068,40648,0.44,6.225,19339,2.962,3.776,1.56,26538,4.064,0.189,1.163,NL,1
2012Jun,283674,43.444,34644,5.306,30820,4.72,268594,180,22846,349138,3.263,41.134,0.028,3.499,53.47,306594,3.515,46.954,3.12,4.126,13299,0.741,2.037,29245,0.2,4.479,11619,1.779,2.543,1.104,8438,1.292,0.406,1.147,NL,1
2012May,281857,43.166,35511,5.438,34951,5.353,271302,182,23318,352319,3.361,41.549,0.028,3.571,53.957,305529,3.599,46.791,3.395,4.201,13452,0.739,2.06,33338,0.2,5.106,5881,0.901,3.699,1.551,22615,3.463,0.438,1.388,NL,1
2012Apr,269836,41.325,34965,5.355,30784,4.714,258382,177,23049,335584,3.416,39.571,0.027,3.53,51.394,294013,3.655,45.027,3.407,4.239,13061,0.74,2,28511,0.437,4.366,13708,2.099,3.699,1.49,24576,3.764,0.496,1.44,NL,1
2012Mar,253728,38.858,34968,5.355,36022,5.517,260346,410,11090,324717,3.448,39.871,0.063,1.698,49.73,281695,3.657,43.141,3.401,4.267,7000,-,1.072,36022,0.35,5.517,16170,2.476,3.698,1.464,14119,2.162,0.657,1.449,NL,1
2012Feb,246858,37.806,34975,5.356,44936,6.882,263096,786,10770,326769,3.474,40.292,0.12,1.649,50.044,274833,3.702,42.09,3.401,4.32,7000,-,1.072,44936,0.608,6.882,26911,4.121,3.698,1.411,26031,3.987,0.693,1.575,NL,1
2012Jan,237982,36.446,34980,5.357,54687,8.375,267693,1451,10342,327649,3.52,40.997,0.222,1.584,50.179,265961,3.797,40.731,3.401,4.382,7000,-,1.072,54687,0.838,8.375,30046,4.602,3.698,1.292,32178,4.928,-,-,NL,1
2011Dec,247912,38.119,33806,5.198,43800,6.735,269855,1892,6048,325517,3.577,41.493,0.291,0.93,50.052,274718,3.841,42.241,3.428,4.389,7000,-,1.076,43800,0.978,6.735,11059,1.7,4.884,1.153,16447,2.529,-,-,NL,1
2011Nov,241971,37.206,33702,5.182,44456,6.836,267152,355,4666,320130,3.487,41.078,0.055,0.717,49.224,268674,3.773,41.312,3.83,4.312,7000,-,1.076,44456,0.846,6.836,10044,1.544,4.417,1.42,22363,3.439,-,-,NL,1
2011Oct,229651,35.311,33755,5.19,44404,6.828,266163,0,2144,307810,3.35,40.926,0,0.33,47.329,256406,3.68,39.425,3.823,4.122,7000,-,1.076,44404,0.801,6.828,22790,3.504,4.419,1.393,11618,1.786,-,-,NL,1
2011Sep,234635,36.078,29765,4.577,54582,8.393,279727,0,2302,318982,3.356,43.011,0,0.354,49.047,257400,3.693,39.578,3.823,4.138,7000,-,1.076,54582,0.908,8.393,12791,1.967,4.419,1.379,18857,2.899,-,-,NL,1
2011Aug,229671,35.314,29765,4.577,53480,8.223,273852,23,2083,312916,3.345,42.108,0.003,0.32,48.114,252436,3.722,38.815,3.823,4.15,7000,-,1.076,53480,0.876,8.223,13410,2.062,4.419,1.321,19142,2.943,-,-,NL,1
2011Jul,220087,33.841,29768,4.577,57329,8.815,267211,742,2422,307184,3.293,41.087,0.114,0.372,47.233,242855,3.731,37.342,3.823,4.182,7000,-,1.076,57329,0.849,8.815,27615,4.246,4.42,1.282,19718,3.032,-,-,NL,1
2011Jun,239916,36.89,28580,4.394,46586,7.163,277852,22,414,315081,3.337,42.723,0.003,0.064,48.447,261495,3.725,40.208,3.823,4.152,7000,-,1.076,46586,0.836,7.163,12898,1.983,3.955,0.916,17380,2.672,-,-,NL,1
2011May,231155,35.543,28584,4.395,50859,7.82,279232,0,69,310599,3.446,42.935,0,0.011,47.758,252740,3.844,38.862,3.699,4.21,7000,-,1.076,50859,0.79,7.82,12890,1.982,4.661,1.355,13932,2.142,-,-,NL,1
2011Apr,227946,35.049,28563,4.392,53048,8.157,278172,0,88,309558,3.415,42.772,0,0.014,47.598,249510,3.849,38.365,3.699,4.229,7000,-,1.076,53048,0.713,8.157,15093,2.321,4.661,1.34,18890,2.905,-,-,NL,1
2011Mar,223543,34.372,28561,4.392,53657,8.25,273994,0,465,305761,3.435,42.13,0,0.071,47.014,245104,3.846,37.688,3.699,4.237,7000,-,1.076,53657,0.673,8.25,22417,3.447,4.661,1.38,21484,3.303,-,-,NL,1
2011Feb,213726,32.863,28553,4.39,64415,9.904,273668,0,1696,306694,3.424,42.079,0,0.261,47.158,235279,3.897,36.177,3.698,4.278,7000,-,1.076,64415,0.64,9.904,23389,3.596,4.72,1.518,19422,2.986,-,-,NL,1
2011Jan,211911,32.584,28555,4.391,70196,10.793,273608,235,5454,310662,3.347,42.07,0.036,0.839,47.768,233466,3.897,35.898,3.698,4.286,7000,-,1.076,70196,0.558,10.793,29823,4.586,4.719,1.483,37616,5.784,-,-,NL,1
2010Dec,220244,34.457,28051,4.389,54573,8.538,268433,438,3581,302869,3.434,41.996,0.069,0.56,47.383,241296,3.925,37.75,3.698,4.282,7000,-,1.095,54573,0.51,8.538,16390,2.564,-,-,17789,2.783,-,-,NL,1
2010Nov,220276,34.462,28050,4.388,53143,8.314,264143,367,3134,301470,3.486,41.325,0.057,0.49,47.165,241326,3.926,37.755,4.416,4.282,7000,-,1.095,53143,0.504,8.314,3520,0.551,-,-,18841,2.948,-,-,NL,1
2010Oct,217169,33.976,28244,4.419,40735,6.373,252893,57,3146,286148,3.498,39.565,0.009,0.492,44.767,238413,3.932,37.299,4.417,4.306,7000,-,1.095,40735,0.592,6.373,8049,1.259,-,-,11767,1.841,-,-,NL,1
2010Sep,215364,33.693,28239,4.418,38826,6.074,245349,230,6497,282430,3.513,38.384,0.036,1.016,44.186,236603,3.933,37.016,4.42,4.314,7000,-,1.095,38826,0.514,6.074,19004,2.973,-,-,23752,3.716,-,-,NL,1
2010Aug,211464,33.083,28251,4.42,37966,5.94,242624,24,4948,277682,3.489,37.958,0.004,0.774,43.443,232716,3.961,36.408,4.419,4.316,7000,-,1.095,37966,0.441,5.94,16268,2.545,-,-,11165,1.747,-,-,NL,1
2010Jul,211425,33.077,31264,4.891,40096,6.273,246379,60,6239,282785,3.486,38.546,0.009,0.976,44.241,232689,3.961,36.404,4.42,4.316,10000,-,1.564,40096,0.524,6.273,19938,3.119,-,-,21557,3.373,-,-,NL,1
2010Jun,222004,34.732,27660,4.327,31502,4.928,246577,0,4839,281166,3.74,38.577,0,0.757,43.988,239665,3.96,37.495,4.42,4.324,10000,-,1.564,31502,0.509,4.928,13413,2.098,-,-,11135,1.742,-,-,NL,1
2010May,213277,33.367,27671,4.329,42497,6.649,247493,74,6109,283444,-,38.72,0.012,0.956,44.345,230948,-,36.131,-,-,10000,-,1.564,42497,-,6.649,8500,1.33,-,-,15682,2.453,-,-,NL,1
2010Apr,204397,31.978,27671,4.329,44195,6.914,242011,0,4809,276263,-,37.862,0,0.752,43.221,222068,-,34.742,-,-,10000,-,1.564,44195,-,6.914,9675,1.514,-,-,19151,2.996,-,-,NL,1
2010Mar,192563,30.126,28181,4.409,46042,7.203,230867,437,6775,266787,-,36.119,0.068,1.06,41.738,210745,-,32.971,-,-,10000,-,1.564,46042,-,7.203,26717,4.18,-,-,15062,2.356,-,-,NL,1
2010Feb,197997,30.976,28187,4.41,52257,8.176,246890,219,2558,278442,-,38.626,0.034,0.4,43.562,216185,-,33.822,-,-,10000,-,1.564,52257,-,8.176,18941,2.963,-,-,15063,2.357,-,-,NL,1
2010Jan,188165,29.438,28183,4.409,65971,10.321,248789,845,4633,282320,-,38.923,0.132,0.725,44.169,206349,-,32.283,-,-,10000,-,1.564,65971,-,10.321,23630,3.697,-,-,24064,3.765,-,-,NL,1
2009Dec,196082,31.381,26439,4.231,59364,9.501,249176,137,5015,281886,-,39.878,0.022,0.803,45.113,212521,-,34.012,-,-,10000,-,1.6,59364,-,9.501,5513,0.882,-,-,19659,3.146,-,-,NL,1
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NL,1