Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=bbn3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017Sep,9472,18.101,527,1.007,0,0,7442,0,16,9999,2.869,14.221,0,0.031,19.108,9958,2.874,19.029,2.816,2.937,41,1.536,0.079,0,-,0,15,0.029,4.43,4.43,44,0.083,-,0.813,BG
2017Aug,9444,18.047,527,1.007,0,0,7457,0,16,9971,2.882,14.25,0,0.03,19.054,9929,2.888,18.975,2.224,2.952,41,1.536,0.079,0,-,0,0,0.001,4.43,4.43,15,0.028,-,0.905,BG
2017Jul,9426,18.014,527,1.007,0,0,7452,0,16,9953,2.882,14.241,0,0.031,19.021,9912,2.888,18.942,2.224,2.952,41,1.498,0.079,0,-,0,951,1.818,4.187,4.187,153,0.292,-,0.905,BG
2017Jun,9274,17.723,1478,2.824,0,0,7452,0,17,10752,2.908,14.241,0,0.032,20.546,10709,2.915,20.465,2.224,2.969,43,1.336,0.081,0,-,0,3,0.006,3.752,3.752,0,0,-,0.905,BG
2017May,9277,17.729,1478,2.824,0,0,7455,0,17,10755,3.041,14.246,0,0.032,20.553,10712,3.048,20.471,3.632,3.004,43,1.358,0.082,0,-,0,0,0.001,3.752,3.752,3,0.006,-,0.905,BG
2017Apr,9275,17.724,1478,2.824,0,0,7452,0,17,10752,3.041,14.241,0,0.033,20.548,10709,3.048,20.465,3.632,3.004,43,1.353,0.083,0,-,0,18,0.034,3.752,3.752,51,0.097,-,0.905,BG
2017Mar,9242,17.661,1478,2.824,0,0,7460,0,26,10719,3.043,14.257,0,0.051,20.484,10658,3.054,20.368,3.632,3.014,61,1.103,0.117,0,-,0,0,0,3.752,3.752,0,0,-,0.905,BG
2017Feb,9242,17.661,1478,2.824,0,0,7460,0,27,10719,3.043,14.257,0,0.051,20.485,10658,3.054,20.368,3.632,3.014,61,1.102,0.117,0,-,0,186,0.355,3.752,3.752,31,0.059,-,2.52,BG
2017Jan,9211,17.602,1663,3.178,0,0,7460,0,26,10874,3.051,14.257,0,0.05,20.78,10813,3.062,20.664,3.632,2.879,61,1.107,0.117,0,-,0,205,0.392,3.466,3.466,26,0.049,-,2.45,BG
2016Dec,9713,19.969,1341,2.756,0,0,7460,0,27,11054,3.081,15.338,0,0.055,22.725,10992,3.093,22.598,3.749,2.883,62,1.085,0.127,0,-,0,0,0,2.941,2.941,0,0.001,-,2.448,BG
2016Nov,9713,19.969,1341,2.756,0,0,7460,0,27,11053,3.104,15.338,0,0.055,22.725,10992,3.115,22.598,4.43,2.883,62,1.086,0.127,0,-,0,0,0,2.763,2.763,1,0.002,-,2.448,BG
2016Oct,9712,19.967,1341,2.756,0,0,7460,0,26,11052,3.103,15.338,0,0.053,22.723,10992,3.115,22.598,4.43,2.883,61,0.943,0.125,0,-,0,0,0,2.763,1.941,0,0.001,-,2.448,BG
2016Sep,9711,19.966,1341,2.756,0,0,7460,0,25,11052,3.103,15.338,0,0.052,22.722,10992,3.115,22.598,4.43,2.883,61,0.955,0.124,0,-,0,105,0.215,2.763,1.941,2,0.005,-,2.448,BG
2016Aug,9709,19.961,1445,2.971,0,0,7460,0,25,11154,3.103,15.338,0,0.052,22.932,11096,3.115,22.813,4.43,2.883,58,0.891,0.119,0,-,0,0,0,3.171,2.05,0,0,-,2.448,BG
2016Jul,9709,19.961,1445,2.971,0,0,7460,0,25,11155,3.084,15.338,0,0.052,22.933,11096,3.096,22.813,4.187,2.886,58,0.891,0.12,0,-,0,0,0,3.171,1.494,0,0,-,2.448,BG
2016Jun,10661,21.917,494,1.016,0,0,7460,0,25,11155,3.083,15.338,0,0.052,22.933,11096,3.096,22.813,4.187,2.886,59,0.728,0.12,0,-,0,0,0,3.171,1.494,50,0.103,-,2.448,BG
2016May,10611,21.814,494,1.016,0,0,7410,0,25,11105,3.083,15.235,0,0.052,22.831,11046,3.095,22.71,3.752,2.933,59,0.728,0.12,0,-,0,41,0.085,3.197,1.424,493,1.015,-,2.448,BG
2016Apr,10212,20.995,441,0.906,0,0,7358,0,41,10653,3.098,15.128,0,0.084,21.901,10561,3.12,21.713,4.077,2.934,91,0.56,0.188,0,-,0,1,0.001,3.197,1.424,371,0.762,-,2.448,BG
2016Mar,9842,20.234,441,0.906,0,0,7358,0,41,10283,3.179,15.128,0,0.085,21.14,10191,3.202,20.951,4.077,2.934,92,0.567,0.189,0,-,0,215,0.443,3.207,1.429,1994,4.099,-,2.444,BG
2016Feb,7850,16.139,654,1.345,0,0,5578,0,43,8504,3.339,11.468,0,0.089,17.484,8410,3.37,17.291,4.004,3.066,94,0.565,0.193,0,-,0,0,0,2.584,1.023,102,0.21,-,2.547,BG
2016Jan,7933,16.31,469,0.963,0,0,5578,0,43,8402,3.372,11.468,0,0.089,17.274,8308,3.404,17.081,4.004,3.061,94,0.565,0.193,0,-,0,218,0.449,2.584,1.023,102,0.21,-,2.604,BG
2015Dec,8036,17.587,483,1.056,0,0,5578,0,43,8518,3.386,12.208,0,0.095,18.643,8424,3.418,18.437,3.74,3.074,94,0.587,0.206,0,-,0,401,0.878,7.558,0.718,0,0,0.323,2.533,BG
2015Nov,8037,17.59,483,1.056,400,0.875,5978,0,44,8920,3.363,13.083,0,0.097,19.522,8424,3.394,18.437,2.95,3.074,95,0.584,0.209,400,-,0.875,0,0,8.272,5.198,435,0.953,0.681,2.181,BG
2015Oct,7601,16.637,483,1.056,400,0.875,5978,0,43,8484,3.171,13.083,0,0.094,18.568,7991,3.317,17.49,2.95,3.074,93,0.601,0.203,400,0.84,0.875,434,0.95,8.272,5.198,1,0.002,0.681,2.181,BG
2015Sep,8035,17.585,483,1.056,400,0.875,5978,0,42,8917,3.251,13.083,0,0.092,19.517,8424,3.394,18.437,2.95,3.074,93,0.604,0.204,400,0.84,0.875,579,1.266,8.272,4.299,0,0,0.681,2.181,BG
2015Aug,8111,17.753,432,0.945,953,2.086,6378,0,42,9496,3.244,13.959,0,0.092,20.783,8450,3.387,18.493,2.95,3.074,93,0.604,0.204,953,0.84,2.086,1,0.002,8.272,4.956,0,0,0.695,2.131,BG
2015Jul,8112,17.754,432,0.945,953,2.086,6378,0,43,9497,3.093,13.959,0,0.094,20.785,8450,3.387,18.493,3.171,3.074,94,0.602,0.206,953,0.735,2.086,104,0.228,8.272,4.633,0,0.001,0.695,2.131,BG
2015Jun,8112,17.754,434,0.949,1055,2.309,6380,0,42,9601,3.094,13.963,0,0.093,21.012,8452,3.387,18.498,3.171,3.074,94,0.656,0.205,1055,0.735,2.309,0,0.001,8.271,4.853,26,0.056,0.695,2.367,BG
2015May,8087,17.699,434,0.949,1055,2.309,6380,0,43,9576,3.071,13.963,0,0.094,20.957,8426,3.396,18.442,3.197,3.148,94,0.655,0.206,1055,0.695,2.309,2,0.003,8.271,4.452,1,0.002,1.165,2.326,BG
2015Apr,8086,17.697,435,0.952,1055,2.309,6380,0,42,9576,3.071,13.963,0,0.092,20.959,8428,3.396,18.445,3.197,3.15,93,0.665,0.205,1055,0.695,2.309,1,0.003,7.606,4.383,26,0.056,1.165,2.326,BG
2015Mar,8062,17.644,435,0.952,1055,2.309,6380,0,43,9552,3.074,13.963,0,0.095,20.906,8402,3.4,18.389,3.207,3.154,95,0.669,0.208,1055,0.695,2.309,0,0,7.601,4.067,3101,6.787,1.165,2.327,BG
2015Feb,5174,11.325,222,0.485,1055,2.309,3280,0,42,6451,3.287,7.178,0,0.092,14.119,5302,3.849,11.605,3.207,3.781,94,0.673,0.205,1055,0.695,2.309,0,0,7.601,4.067,26,0.057,1.165,2.029,BG
2015Jan,5148,11.268,222,0.485,1055,2.309,3280,0,42,6425,3.296,7.178,0,0.091,14.062,5277,3.862,11.549,2.584,3.781,93,0.674,0.204,1055,0.695,2.309,985,2.156,7.601,4.067,156,0.341,1.088,1.95,BG
2014Dec,5322,12.409,978,2.281,954,2.224,3280,0,937,7255,3.358,7.647,0,2.184,16.914,6210,3.882,14.479,2.584,3.789,91,0.743,0.212,954,0.735,2.224,0,0,3.793,1.759,841,1.96,1.041,1.868,BG
2014Nov,5312,12.384,949,2.213,153,0.357,2480,0,907,6414,4.187,5.782,0,2.114,14.954,6171,4.553,14.389,8.262,3.72,90,0.748,0.209,153,0.659,0.357,627,1.461,3.78,1.752,7,0.017,1.222,2.174,BG
2014Oct,5311,12.384,942,2.197,780,1.818,2480,0,900,7034,4.406,5.782,0,2.097,16.399,6164,4.549,14.372,8.259,3.72,89,0.764,0.208,780,0.78,1.818,205,0.477,3.78,1.641,0,0,1.222,2.174,BG
2014Sep,5312,12.385,942,2.197,984,2.294,2480,0,900,7238,4.187,5.782,0,2.097,16.876,6164,4.549,14.372,8.259,3.72,90,0.779,0.209,984,1.725,2.294,153,0.357,3.78,1.868,194,0.452,1.222,2.174,BG
2014Aug,5310,12.381,903,2.105,984,2.294,2480,0,859,7197,4.133,5.782,0,2.002,16.78,6125,4.522,14.281,8.242,3.72,88,0.788,0.205,984,1.62,2.294,26,0.059,3.78,2.112,13,0.03,1.203,2.165,BG
2014Jul,5335,12.439,891,2.077,984,2.294,2480,0,846,7210,4.044,5.782,0,1.972,16.81,6138,4.504,14.312,8.237,3.72,87,0.79,0.204,984,1.462,2.294,204,0.476,3.78,2.112,1512,3.524,1.203,2.165,BG
2014Jun,3843,8.961,871,2.031,1188,2.77,987,0,827,5902,4.296,2.301,0,1.929,13.762,4628,4.961,10.79,8.228,4.548,87,0.957,0.202,1188,1.462,2.77,162,0.379,3.78,1.969,779,1.816,1.203,1.29,BG
2014May,3692,8.607,1033,2.409,561,1.309,937,0,833,5286,4.492,2.184,0,1.943,12.325,4638,5.049,10.813,8.23,4.635,87,0.956,0.203,561,0.598,1.309,207,0.483,4.201,1.82,18,0.042,0.585,0.808,BG
2014Apr,3695,8.616,1014,2.365,765,1.784,940,0,815,5475,4.449,2.191,0,1.901,12.765,4624,4.981,10.78,7.486,4.635,86,0.959,0.201,765,0.598,1.784,21,0.05,4.201,2.241,26,0.059,0.585,0.808,BG
2014Mar,3686,8.593,1020,2.378,765,1.784,948,0,828,5471,4.296,2.211,0,1.931,12.756,4604,4.993,10.734,7.494,4.674,102,0.904,0.238,765,0.558,1.784,6,0.014,4.201,2.241,26,0.059,0.585,0.808,BG
2014Feb,3660,8.534,1026,2.392,765,1.784,948,0,834,5452,4.319,2.211,0,1.945,12.711,4584,5.019,10.688,7.501,4.674,102,0.904,0.239,765,0.585,1.784,243,0.568,4.201,2.241,229,0.534,0.585,0.8,BG
2014Jan,3636,8.478,1269,2.958,561,1.309,923,0,847,5466,4.484,2.153,0,1.974,12.744,4802,5.04,11.196,7.514,4.713,103,0.823,0.24,561,0.634,1.309,0,0.001,5.934,1.298,553,1.29,0.792,0.901,BG
2013Dec,4372,10.434,388,0.925,153,0.365,903,0,834,4913,4.825,2.155,0,1.991,11.724,4657,5.05,11.114,6.859,4.806,103,0.91,0.245,153,0.6,0.365,6,0.015,4.875,1.566,0,0,0.897,1.086,BG
2013Nov,4378,10.449,388,0.925,153,0.365,903,0,841,4919,4.829,2.155,0,2.006,11.739,4663,5.055,11.128,3.78,4.802,103,0.906,0.246,153,0.6,0.365,0,0.001,7.302,5.357,197,0.469,0.897,1.086,BG
2013Oct,4182,9.98,388,0.925,153,0.365,858,0,834,4723,4.919,2.048,0,1.991,11.27,4467,5.159,10.66,3.78,4.943,103,0.905,0.245,153,0.6,0.365,13,0.03,7.302,5.357,0,0,0.897,1.086,BG
2013Sep,4195,10.01,388,0.925,153,0.365,858,0,847,4735,4.927,2.048,0,2.021,11.3,4479,5.168,10.688,3.78,4.943,104,0.91,0.248,153,0.6,0.365,19,0.046,7.302,5.357,153,0.365,0.897,1.086,BG
2013Aug,4214,10.056,388,0.925,0,0,858,0,866,4601,4.979,2.048,0,2.067,10.981,4497,5.074,10.731,3.78,5.026,105,0.907,0.25,0,-,0,434,1.035,7.302,5.357,7,0.016,1.008,1.236,BG
2013Jul,4233,10.102,388,0.925,408,0.974,884,0,860,5029,4.961,2.109,0,2.051,12.001,4516,5.057,10.778,3.78,4.983,104,0.8,0.249,408,-,0.974,46,0.109,7.302,7.302,18,0.043,1.008,1.236,BG
2013Jun,4235,10.108,413,0.986,408,0.974,884,0,879,5057,4.665,2.109,0,2.099,12.067,4543,5.086,10.841,3.78,4.983,106,0.802,0.252,408,1.008,0.974,1,0.001,6.755,6.755,66,0.156,1.008,3.326,BG
2013May,4327,10.326,257,0.612,408,0.974,844,0,880,4992,4.701,2.014,0,2.1,11.912,4477,5.121,10.684,3.913,5.091,106,1.167,0.254,408,1.008,0.974,0,0,6.755,6.755,13,0.032,1.008,3.326,BG
2013Apr,4313,10.294,257,0.612,408,0.974,844,0,867,4978,4.692,2.014,0,2.068,11.88,4465,5.112,10.654,4.201,5.091,106,1.17,0.252,408,1.008,0.974,27,0.065,6.755,6.755,91,0.218,1.008,3.326,BG
2013Mar,4249,10.141,257,0.612,408,0.974,824,0,894,4914,4.76,1.966,0,2.133,11.727,4399,5.196,10.497,4.201,5.131,107,1.169,0.256,408,1.008,0.974,0,0.001,6.755,6.755,114,0.273,1.008,3.326,BG
2013Feb,4135,9.868,257,0.612,408,0.974,804,0,873,4800,4.731,1.918,0,2.084,11.455,4285,5.172,10.227,4.098,5.097,106,1.114,0.254,408,1.008,0.974,43,0.103,6.792,6.792,440,1.051,1.008,3.326,BG
2013Jan,4334,10.343,69,0.164,0,0,804,0,841,4403,5.057,1.918,0,2.007,10.507,4298,5.149,10.257,4.098,5.097,105,1.12,0.25,0,-,0,66,0.158,6.898,6.898,86,0.206,-,4.22,BG
2012Dec,4289,10.2,94,0.224,0,0,792,0,874,4383,5.104,1.884,0,2.078,10.424,4261,5.215,10.134,4.806,5.181,122,1.079,0.289,0,-,0,13,0.032,4.274,4.274,0,0,-,4.413,BG
2012Nov,4302,10.232,94,0.224,0,0,792,0,887,4396,5.499,1.884,0,2.11,10.456,4274,5.601,10.164,7.297,5.098,122,1.077,0.291,0,-,0,1,0.001,4.229,4.229,156,0.371,-,4.413,BG
2012Oct,4147,9.862,94,0.224,0,0,730,0,888,4241,5.918,1.737,0,2.111,10.086,4118,6.034,9.793,7.929,5.627,123,1.075,0.293,0,-,0,7,0.017,4.229,4.127,0,0,-,4.413,BG
2012Sep,4154,9.879,94,0.224,0,0,730,0,895,4248,5.921,1.737,0,2.128,10.103,4124,6.038,9.809,7.929,5.627,124,1.074,0.294,0,-,0,21,0.051,4.229,4.12,0,0,-,4.413,BG
2012Aug,4175,9.93,94,0.224,0,0,730,0,916,4269,5.931,1.737,0,2.178,10.154,4144,6.048,9.856,7.929,5.627,125,1.071,0.297,0,-,0,174,0.414,4.229,4.12,79,0.187,-,4.413,BG
2012Jul,4119,9.796,246,0.584,0,0,882,0,938,4365,5.974,2.098,0,2.231,10.38,4243,6.095,10.091,7.929,5.657,122,1.066,0.289,0,-,0,0,0,5.058,4.285,980,2.33,-,4.413,BG
2012Jun,3165,7.527,220,0.523,0,0,882,0,909,3385,6.215,2.098,0,2.161,8.05,3265,6.366,7.765,7.273,5.657,120,1.071,0.285,0,-,0,24,0.056,5.069,4.289,490,1.166,-,4.407,BG
2012May,2699,6.418,220,0.523,0,0,733,0,932,2919,6.452,1.743,0,2.216,6.941,2846,6.564,6.768,7.308,5.758,73,0.825,0.173,0,-,0,58,0.138,5.006,4.113,56,0.134,-,4.407,BG
2012Apr,2700,6.421,220,0.523,0,0,791,0,875,2920,6.334,1.881,0,2.082,6.944,2793,6.531,6.641,7.308,5.758,127,0.748,0.303,0,-,0,42,0.101,5.006,4.113,79,0.187,1.389,4.368,BG
2012Mar,2621,6.234,262,0.624,0,0,755,0,869,2884,6.391,1.795,0,2.066,6.858,2757,6.593,6.556,7.308,5.834,127,0.749,0.302,0,-,0,0,0,4.092,3.321,29,0.07,1.389,4.368,BG
2012Feb,2592,6.164,262,0.624,0,0,753,0,869,2854,6.416,1.791,0,2.066,6.788,2728,6.618,6.487,7.323,5.861,127,0.751,0.301,0,-,0,15,0.035,4.092,3.321,17,0.04,1.389,3.263,BG
2012Jan,2632,6.259,220,0.523,0,0,747,0,883,2852,6.433,1.776,0,2.1,6.782,2723,6.638,6.477,7.323,5.857,128,0.763,0.305,0,-,0,447,1.064,4.092,3.321,61,0.144,-,-,BG
2011Dec,2922,7.081,317,0.767,0,0,712,0,1031,3239,6.505,1.725,0,2.498,7.848,3110,6.698,7.536,7.447,5.782,129,0.762,0.312,0,-,0,23,0.056,4.741,3.08,29,0.071,-,-,BG
2011Nov,2898,7.023,317,0.767,18,0.043,712,0,1007,3233,6.413,1.725,0,2.439,7.833,3081,6.604,7.465,4.232,5.607,134,0.826,0.324,18,-,0.043,4,0.011,4.244,3.207,1015,2.461,-,-,BG
2011Oct,2046,4.958,157,0.38,19,0.045,508,0,973,2222,6.972,1.232,0,2.357,5.383,2125,7.156,5.15,3.969,5.835,77,0.917,0.188,19,2.33,0.045,21,0.052,4.244,3.218,0,0,-,-,BG
2011Sep,2068,5.01,157,0.38,19,0.045,508,0,994,2243,6.979,1.232,0,2.409,5.435,2146,7.167,5.199,3.969,5.835,79,0.909,0.191,19,2.284,0.045,59,0.144,4.244,3.218,126,0.305,-,-,BG
2011Aug,1942,4.706,157,0.38,78,0.189,508,0,939,2176,6.969,1.232,0,2.275,5.274,2023,7.157,4.902,3.969,5.932,76,0.927,0.183,78,2.284,0.189,7,0.016,4.244,3.529,0,0,-,-,BG
2011Jul,2070,5.016,35,0.085,78,0.189,508,0,945,2183,6.892,1.232,0,2.291,5.29,2029,7.164,4.917,3.969,5.934,76,0.925,0.184,78,2.645,0.189,16,0.038,4.133,3.459,13,0.032,-,-,BG
2011Jun,2059,4.989,36,0.087,91,0.22,508,0,935,2186,6.818,1.232,0,2.266,5.296,2017,7.086,4.887,6.328,5.606,78,0.93,0.189,91,2.645,0.22,6,0.016,4.254,3.9,0,0,-,-,BG
2011May,2065,5.005,36,0.087,91,0.22,508,0,942,2192,6.776,1.232,0,2.282,5.312,2023,7.071,4.902,6.328,5.606,78,0.954,0.19,91,2.469,0.22,1171,2.837,4.254,3.9,54,0.132,-,-,BG
2011Apr,3175,7.694,36,0.087,97,0.236,1325,0,1262,3308,7.153,3.211,0,3.057,8.016,3134,7.377,7.594,6.328,5.604,77,0.962,0.186,97,2.48,0.236,53,0.129,4.254,4.254,0,0,-,-,BG
2011Mar,3249,7.872,16,0.038,97,0.236,1325,0,1315,3362,7.157,3.211,0,3.187,8.146,3185,7.395,7.718,6.328,5.604,79,0.935,0.192,97,2.353,0.236,39,0.095,5.089,5.089,51,0.122,-,-,BG
2011Feb,3237,7.845,16,0.038,97,0.236,1294,0,1353,3350,6.918,3.135,0,3.279,8.118,3172,7.148,7.686,4.156,3.541,81,0.927,0.196,97,2.353,0.236,51,0.123,5.089,5.089,8,0.019,-,-,BG
2011Jan,3247,7.869,56,0.137,90,0.217,1294,0,1363,3393,6.932,3.135,0,3.303,8.223,3222,7.152,7.808,4.156,3.541,81,0.919,0.197,90,2.48,0.217,54,0.13,5.131,5.131,36,0.087,-,-,BG
2010Dec,3268,8.586,67,0.176,77,0.202,1294,0,1394,3411,6.976,3.399,0,3.662,8.964,3251,7.18,8.543,4.78,3.668,83,0.918,0.218,77,2.66,0.202,52,0.136,-,-,33,0.087,-,-,BG
2010Nov,3304,8.681,67,0.176,59,0.155,1295,0,1444,3430,7.004,3.403,0,3.794,9.012,3277,7.2,8.61,4.382,3.669,94,0.594,0.247,59,2.76,0.155,0,0,-,-,103,0.271,-,-,BG
2010Oct,3201,8.411,67,0.175,59,0.155,1295,0,1341,3327,6.971,3.403,0,3.523,8.741,3179,7.162,8.353,4.382,3.669,89,0.583,0.233,59,2.76,0.155,39,0.104,-,-,0,0,-,-,BG
2010Sep,3240,8.514,67,0.176,59,0.155,1295,0,1380,3366,6.979,3.403,0,3.627,8.845,3217,7.177,8.452,4.382,3.669,91,0.37,0.238,59,2.76,0.155,100,0.263,-,-,293,0.77,-,-,BG
2010Aug,3104,8.156,69,0.181,0,0,1063,0,1478,3173,7.46,2.793,0,3.884,8.337,3077,7.621,8.085,4.382,5.434,96,0.37,0.252,0,-,0,2,0.004,-,-,150,0.393,-,-,BG
2010Jul,2958,7.773,67,0.176,0,0,960,0,1433,3025,7.476,2.523,0,3.766,7.949,2938,7.638,7.719,4.382,4.858,88,0.37,0.23,0,-,0,108,0.283,-,-,48,0.125,-,-,BG
2010Jun,3019,7.934,66,0.173,0,0,962,0,1539,3085,7.389,2.528,0,4.043,8.107,2992,7.555,7.862,4.263,3.447,93,0.45,0.244,0,-,0,0,0,-,-,35,0.093,-,-,BG
2010May,2984,7.84,66,0.173,0,0,962,0,1526,3050,-,2.528,0,4.01,8.013,2957,-,7.771,-,-,92,-,0.243,0,-,0,122,0.321,-,-,148,0.389,-,-,BG
2010Apr,2853,7.496,171,0.449,0,0,979,0,1412,3024,-,2.572,0,3.709,7.945,2937,-,7.718,-,-,86,-,0.227,0,-,0,0,0,-,-,36,0.095,-,-,BG
2010Mar,2817,7.401,171,0.449,0,0,979,0,1391,2988,-,2.572,0,3.654,7.85,2902,-,7.626,-,-,85,-,0.224,0,-,0,0,0.001,-,-,26,0.067,-,-,BG
2010Feb,2791,7.334,171,0.45,0,0,979,0,1380,2962,-,2.573,0,3.627,7.784,2878,-,7.561,-,-,85,-,0.223,0,-,0,87,0.23,-,-,103,0.271,-,-,BG
2010Jan,2739,7.197,208,0.545,0,0,954,0,1351,2947,-,2.507,0,3.549,7.742,2863,-,7.523,-,-,83,-,0.219,0,-,0,7,0.019,-,-,51,0.135,-,-,BG
2009Dec,2718,7.264,184,0.493,0,0,957,0,1320,2903,-,2.556,0,3.527,7.757,2813,-,7.518,-,-,90,-,0.24,0,-,0,452,1.207,-,-,86,0.229,-,-,BG
2009Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2009Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Nov,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Oct,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Sep,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Aug,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Jul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Jun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Apr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Mar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Feb,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2008Jan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG
2007Dec,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BG